Week,AR,athena_flu,athena_ILI,athena_viral,how long is the flu contagious,strep,signs of flu,flu fever,flu how long,how long flu,upper respiratory,strep throat,how long does flu last,expectorant,can adults get rsv,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,type a flu,tamiflu side effects,symptoms of flu,cold,type b flu,flu shots,high fever,symptoms of rsv,flu treatment,body temperature,flu incubation period,symptoms of bronchitis,robitussin,tamiflu dosage,walking pneumonia,incubation period for flu,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,rsv,tussionex,pneumonia,signs of the flu,how long are you contagious with the flu,flu a symptoms,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,how long is flu contagious,flu vaccine,cold vs flu,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,early flu symptoms,flu type a,what is rsv
2014-02-16,2.909455731,0.00818936504375,0.0142472515145,0.0228853488894,94.143363644,1803.94084567,95.8087351745,93.8597992956,190.385100621,190.385100621,332.011335375,853.74232599,94.7958332782,158.596766613,0.0,94.0865137867,0.0,187.606582578,95.5200676988,1045.42715182,93.9730198014,94.9961263157,0.0,93.8597992956,94.8529736238,0.0,143.506246873,6832.36702179,0.0,95.0986063034,94.9688747765,93.9730198014,93.9730198014,348.036105722,0.0,142.929111828,190.297386376,0.0,158.338116049,94.143363644,383.698765135,0.0,189.679833373,252.516179667,95.8666781652,95.3125882749,142.972057992,0.0,254.855830914,94.3428803093,697.777458131,189.021693734,1868.97966111,0.0,95.664183673,142.145636036,728.139074325,187.606582578,94.9961263157,1772.5805147,0.0,1076.50216457,285.771578585,188.173027573,236.571621401,95.548856146,0.0,126.386070164,95.7219518999,0.0,94.3823853037,94.6533618884,0.0,0.0,189.050411635,95.3138311402,158.434461571,0.0,95.8666781652,0.0,94.8529736238,126.691656858
2014-02-23,2.247778359,0.00737856118057,0.0116827218692,0.0184464029514,91.7701772678,1625.83137828,92.2239934027,183.669536169,91.9022096525,91.9022096525,153.232142502,459.97363876,183.907991973,92.2266018387,0.0,91.9184319787,0.0,91.7142446018,91.9451669145,798.436098073,183.447224591,91.9174140721,92.0566247798,183.669536169,91.8109979276,0.0,184.202888555,7818.08439528,92.2239934027,91.9817598743,229.991983171,92.3356109438,92.1682857655,306.806228381,0.0,122.725043207,153.677309542,0.0,153.472703241,91.7789007899,92.2002650271,0.0,153.333682279,305.865728108,0.0,92.2236198731,91.9457131609,183.89225319,185.29428405,0.0,707.177991648,92.1956987045,1043.93461076,0.0,0.0,153.038172326,1043.18031547,91.7142446018,91.9174140721,2301.03234739,0.0,613.503061696,615.800041016,91.9817598743,137.543787862,368.671177749,0.0,91.7695108032,92.0193835546,91.9451669145,91.8901653434,92.2239934027,0.0,91.9451669145,91.7839896405,92.3850282312,276.22574325,92.0613422676,122.854228475,0.0,91.8109979276,91.8896779785
2014-03-02,2.303988996,0.00281237444757,0.00950850408464,0.0159367885362,0.0,1177.81943322,90.3705669121,0.0,90.5556422119,90.5556422119,0.0,1056.11164285,0.0,91.2647199884,0.0,0.0,0.0,180.305219121,0.0,453.517836845,0.0,91.0443403446,90.4307902945,0.0,0.0,0.0,151.1912926,8572.90949237,90.3705669121,181.343969625,91.0993354158,0.0,90.9894116325,271.587359584,90.1254387921,181.574065603,121.007924886,0.0,182.584684965,0.0,90.7883010642,136.128466857,136.100153509,422.169493353,90.6496847945,0.0,90.2645128869,90.5282635457,136.452641738,0.0,302.602223812,135.423756292,1451.29057827,0.0,0.0,0.0,423.024102721,180.305219121,91.0443403446,1450.09921531,90.8188993172,513.329621103,227.714858449,90.0711463591,135.219800539,90.1254387921,91.1543969663,0.0,90.3324296212,0.0,0.0,90.8599439631,0.0,0.0,270.466788997,90.8145523631,225.893984323,273.298006247,151.154413245,90.1797967166,0.0,0.0
2014-03-09,1.693889897,0.00219435736677,0.0055381400209,0.0117032392894,96.5443833327,1291.63705517,97.0400808611,97.0400103002,129.042992294,129.042992294,96.3726009174,871.142877818,97.0107151865,195.078918678,0.0,96.1403777827,0.0,96.6607328986,0.0,226.307767948,96.7770204009,0.0,0.0,97.0400103002,96.2563492878,0.0,290.450661897,6164.80512847,0.0,97.1574562235,129.267088715,96.5767183777,0.0,290.458713481,96.952235284,0.0,0.0,0.0,96.9723969449,0.0,97.3625972187,96.0824967605,194.431402653,225.578447878,0.0,97.3920296846,96.7288626055,0.0,195.703039923,0.0,420.791487946,97.2751158738,1099.29580401,97.0691641232,0.0,0.0,678.464721844,96.6607328986,0.0,1518.2467017,0.0,452.275093635,97.1978777492,97.2744064604,193.282638369,144.978168581,0.0,96.8353549521,290.418536666,0.0,96.2853858939,97.3625972187,0.0,0.0,225.820946547,0.0,129.493100979,97.2452356946,193.979581136,0.0,96.2563492878,0.0
2014-03-16,1.162147205,0.00285839929639,0.00582673702726,0.0113236587511,0.0,961.480393313,97.3497772245,159.879778788,95.3078688952,95.3078688952,255.974075413,832.605026174,96.9396367246,287.221293251,0.0,0.0,0.0,0.0,0.0,256.640732416,97.1735785327,96.6807206884,95.5958080761,159.879778788,96.2468445623,95.451621337,193.28084718,7334.54477624,0.0,0.0,97.3497772245,0.0,95.451621337,192.236158178,95.4804238781,191.777852029,190.960847756,97.3497772245,288.707744025,0.0,95.6498561408,96.3894687004,191.328714227,223.71548948,95.7984028859,0.0,96.2905572338,97.0564666574,0.0,0.0,320.939570196,144.525286247,1187.10446956,0.0,95.2791703499,0.0,673.421545759,0.0,96.6807206884,1730.93706497,97.144274076,384.482999159,225.148524647,95.6461556362,95.336584734,97.0857181543,0.0,0.0,97.2615980785,0.0,95.4192615916,0.0,0.0,0.0,238.506269888,0.0,145.095580477,96.4474293903,95.5380811389,95.2791703499,96.2468445623,0.0
2014-03-23,0.817661488,0.00217273221076,0.00448126018468,0.00964149918523,0.0,943.66828786,0.0,0.0,109.520646973,109.520646973,145.03602022,652.743606978,0.0,109.204037488,108.940339239,109.006144336,0.0,144.893740271,0.0,145.364521942,107.987214258,108.940339239,0.0,0.0,0.0,0.0,109.045131313,7328.83205169,108.907466475,0.0,109.006144336,0.0,0.0,218.492276441,0.0,109.137993316,109.312058393,0.0,108.879768133,0.0,109.006144336,219.703850795,108.560179973,326.176297212,0.0,0.0,108.117672988,109.851925397,110.386159685,0.0,509.321080563,0.0,762.938001703,0.0,0.0,0.0,653.290385932,144.893740271,108.940339239,1561.32686236,0.0,181.620971556,109.252239823,219.305836572,109.015819537,109.355755906,0.0,0.0,108.743399788,0.0,108.710645752,0.0,108.776173568,0.0,327.672600328,0.0,109.062109993,108.445575985,0.0,0.0,0.0,0.0
2014-03-30,0.786163522,0.00177069499779,0.00442673749447,0.0105135015494,96.6597494741,1261.79346081,0.0,96.9548671089,96.7850597634,96.7850597634,193.351790009,1002.17123206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.747296665,0.0,0.0,97.1853916163,96.9548671089,0.0,0.0,129.504719018,7404.66132356,0.0,0.0,194.466250771,0.0,0.0,290.61805026,0.0,0.0,146.056095444,0.0,97.077745211,0.0,0.0,96.9294823228,161.706799276,193.618702402,0.0,0.0,96.7121574756,0.0,97.6681357767,0.0,162.118042454,97.3913552073,1229.94634036,0.0,0.0,0.0,776.751401772,0.0,0.0,1423.68537471,96.7361680396,226.503352979,242.855541641,145.394961903,0.0,0.0,0.0,0.0,96.9218578638,97.1267047856,193.785329066,97.2441494105,0.0,97.1267047856,241.658875344,0.0,227.12157763,0.0,129.553149268,0.0,0.0,0.0
2014-04-06,0.945626478,0.000345582306186,0.00391659947011,0.00875475175671,0.0,1158.50631029,0.0,99.1735204531,98.9103144343,98.9103144343,132.262632602,826.877631224,98.5299624196,0.0,99.9927491405,0.0,0.0,0.0,0.0,464.002796999,0.0,0.0,0.0,99.1735204531,99.2632161304,99.4130700194,149.186392638,7178.87517748,149.508211593,98.9172891542,165.615140717,0.0,99.7813479795,231.771271337,0.0,0.0,99.4731383397,0.0,199.178754685,0.0,99.9624941483,0.0,99.3091441635,148.634222768,99.6236272025,0.0,132.172850747,98.6488164153,199.933029842,0.0,132.672816754,132.5425945,1192.98309994,0.0,0.0,98.4410097,562.951690315,0.0,0.0,1456.95315022,0.0,363.984620393,298.69013115,199.021712747,148.938132961,0.0,0.0,0.0,98.5596490609,0.0,199.321896326,198.403572689,99.2632161304,0.0,148.721385116,99.0970842875,148.649348954,99.593493014,149.03580242,0.0,99.2632161304,99.1644994153
2014-04-13,0.672202452,0.000540598983674,0.00259487512163,0.00843334414531,0.0,1458.77620625,0.0,99.1734580995,99.2482157326,99.2482157326,99.2931917697,662.483155708,99.3959667765,99.8470831159,0.0,99.6661460882,198.945254979,198.645367649,0.0,331.836935066,0.0,99.5871686485,0.0,99.1734580995,0.0,0.0,199.789776983,8216.77315645,0.0,99.8948884917,99.4215867812,0.0,0.0,248.201742785,199.151846529,148.990908405,132.811416166,0.0,149.049812034,0.0,99.6833108157,132.731492687,99.5844229932,198.780961773,99.9075415374,0.0,99.2269246182,0.0,99.9956667799,99.6833108157,199.448400795,0.0,829.343992052,0.0,0.0,0.0,762.796168631,198.645367649,99.5871686485,1558.31869218,0.0,364.474963004,266.227129284,99.8168813364,132.27101567,99.8773031774,0.0,98.981681627,99.3015848414,0.0,148.902235659,199.125622391,0.0,0.0,98.8328369929,0.0,149.890172698,0.0,199.008536832,0.0,0.0,0.0
2014-04-20,1.139721401,0.000439657067487,0.00285777093867,0.00802374148164,0.0,1177.24444422,0.0,0.0,201.345060611,201.345060611,100.643348778,739.461895207,151.084818192,101.068620647,0.0,0.0,101.073932878,100.629503455,0.0,202.008164839,100.764605825,100.793800195,100.611257846,0.0,0.0,0.0,201.101114476,6825.07381874,0.0,100.641635641,151.668296423,0.0,100.916588639,151.164421103,100.947040235,0.0,100.824521073,0.0,100.999098418,0.0,0.0,101.053339638,0.0,151.07399735,0.0,101.03811412,0.0,0.0,0.0,0.0,236.04212601,0.0,808.055128656,0.0,0.0,0.0,437.489553263,100.629503455,100.793800195,1413.10131616,0.0,201.957670957,101.233942133,0.0,167.784056942,0.0,100.769676608,0.0,151.194707952,0.0,201.96492651,101.165568356,100.825343984,0.0,134.300434976,101.191128088,101.041483782,0.0,100.824288337,0.0,0.0,0.0
2014-04-27,1.080319399,0.000110120030834,0.00363396101751,0.00847924237419,0.0,1490.72221499,0.0,194.228445413,97.5565916385,97.5565916385,242.351819832,873.816899118,96.9680983868,98.2396074544,0.0,0.0,96.6169102523,97.1435004339,0.0,227.103655444,0.0,97.6143565402,96.470963258,194.228445413,0.0,0.0,293.651966898,7967.92936359,98.0614757999,97.703150679,244.237764732,0.0,97.3195381877,291.555635111,0.0,98.3289161884,96.3545227471,0.0,243.083710705,0.0,0.0,98.1504608051,0.0,145.779657531,292.311754708,0.0,97.0648486434,0.0,195.811679264,0.0,196.030077512,96.9813911745,843.093515736,0.0,0.0,145.413801845,778.022655323,97.1435004339,97.6143565402,1458.68672976,0.0,162.133234957,97.3628114367,97.9726519993,241.612953861,0.0,0.0,0.0,96.2093667924,0.0,241.758767272,98.0614757999,0.0,0.0,243.472852187,0.0,97.3687032872,96.4418267545,98.1504608051,0.0,0.0,0.0
2014-05-04,0.787401575,0.0,0.00321721766142,0.00876414466386,0.0,1133.42561675,0.0,0.0,0.0,0.0,0.0,799.334633684,0.0,0.0,0.0,0.0,0.0,199.432205135,0.0,199.470059186,0.0,100.199428118,0.0,0.0,0.0,0.0,99.8110883848,7462.18935136,0.0,0.0,133.393299136,99.3037737744,100.603149949,233.375435751,0.0,0.0,0.0,0.0,133.423645393,0.0,0.0,100.968647315,150.173229997,150.116552675,0.0,100.999225343,199.79360448,0.0,201.007786215,0.0,149.904740171,99.8666401621,967.883004271,0.0,0.0,0.0,666.916448267,199.432205135,100.199428118,1400.30241362,0.0,366.387621673,100.473363371,0.0,198.189174743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.068345959,99.6860494927,100.694275991,0.0,0.0,0.0
2014-05-11,1.576576577,0.0,0.00225047822662,0.00821424552717,0.0,1058.39952518,102.616302224,101.651822021,101.68244004,101.68244004,0.0,784.601418811,102.862208515,102.143933716,0.0,0.0,0.0,0.0,0.0,102.58530032,0.0,102.470345944,0.0,101.651822021,0.0,102.893265945,0.0,7031.64654451,0.0,102.082159338,205.232604447,102.740497446,102.769148616,239.021826286,0.0,103.267423276,102.955437103,0.0,170.920146974,0.0,101.958834471,102.205782904,102.4614798,153.612603386,102.678362279,0.0,101.68244004,0.0,102.955404514,0.0,239.642567779,204.728210908,854.818665484,0.0,0.0,0.0,512.481219425,0.0,102.470345944,1161.33064526,0.0,239.125492989,153.875861798,0.0,203.426153017,102.475941186,0.0,0.0,0.0,0.0,102.769148616,102.051300161,0.0,0.0,102.163374401,0.0,102.602347886,0.0,103.080005084,0.0,0.0,0.0
2014-05-18,0.627615063,0.0,0.00335570469799,0.0076062639821,0.0,1077.69052282,0.0,110.377969538,110.411215914,110.411215914,0.0,667.933458068,110.411215914,0.0,0.0,0.0,0.0,112.015122788,0.0,222.528257176,0.0,0.0,0.0,110.377969538,0.0,0.0,0.0,6684.2574062,0.0,0.0,222.986630364,0.0,110.577748668,224.504025552,0.0,223.914138697,167.257375289,0.0,110.945894926,0.0,0.0,111.846526878,110.811740276,222.142098237,0.0,0.0,148.355148159,0.0,225.800159398,0.0,149.062919944,112.184227744,1004.53851055,0.0,0.0,0.0,500.579279305,112.015122788,0.0,1486.60736565,0.0,333.67406114,223.764906869,0.0,111.563810925,111.2491204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.778252292,0.0,111.079575415,0.0,0.0,0.0,0.0,0.0
2014-05-25,0.602006689,0.000138293458719,0.00276586917439,0.0100954224865,0.0,1068.11831513,0.0,118.566212571,0.0,0.0,177.494607328,750.860685702,0.0,0.0,0.0,0.0,0.0,237.390163191,0.0,178.522278927,0.0,238.353646356,0.0,118.566212571,0.0,0.0,118.354803492,5852.28514472,0.0,0.0,713.33217282,0.0,0.0,276.917901886,0.0,0.0,118.651135866,0.0,119.057350251,0.0,0.0,178.353626626,118.390581849,237.320135352,118.960596707,0.0,0.0,0.0,119.853478429,0.0,119.309514079,118.877884845,554.794340853,0.0,0.0,118.317546363,514.485919333,237.390163191,238.353646356,1385.05454568,0.0,237.556557948,178.616069611,0.0,197.359193423,0.0,0.0,0.0,0.0,0.0,118.317288352,0.0,0.0,0.0,118.442448613,0.0,118.354803492,118.283311614,0.0,118.913734629,0.0,118.745153429
2014-06-01,0.134048257,0.0,0.00217914898498,0.00688152311045,0.0,1237.8833749,0.0,238.3745619,238.446361466,238.446361466,120.785302844,638.305363633,0.0,0.0,0.0,0.0,0.0,118.979305274,0.0,119.691853654,0.0,0.0,0.0,238.3745619,0.0,0.0,119.619510436,6025.94639624,0.0,0.0,119.547254616,0.0,0.0,239.537548884,0.0,119.527854672,121.187798552,0.0,119.952197402,0.0,119.202756246,120.127706117,119.022908998,120.204604273,0.0,0.0,0.0,0.0,120.456774204,0.0,120.083148874,179.81073542,639.355800391,0.0,0.0,0.0,439.578146145,118.979305274,0.0,998.430064148,119.728058087,279.288547644,121.519113918,119.728058087,238.030327992,120.566884575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.363447523,121.334826515,119.619510436,119.547254616,0.0,0.0,0.0,0.0
2014-06-08,0.370141888,0.0,0.0041769041769,0.0103194103194,0.0,831.811274118,0.0,125.229498509,0.0,0.0,125.116475496,1038.72321416,0.0,249.898762787,0.0,0.0,0.0,187.378047463,0.0,372.410493072,0.0,125.138641287,0.0,125.229498509,0.0,0.0,123.874701969,6234.98313076,0.0,0.0,124.447816108,0.0,0.0,124.297720699,0.0,0.0,250.277282573,0.0,124.924389015,0.0,0.0,125.911948093,124.647753436,185.951738042,125.911948093,0.0,0.0,0.0,124.815999096,0.0,0.0,0.0,874.844753422,0.0,0.0,0.0,582.423718605,187.378047463,125.138641287,1414.02086896,123.912081179,187.491574211,124.17436862,0.0,185.988034976,0.0,0.0,0.0,124.723023819,0.0,125.267218238,125.721633782,0.0,0.0,125.683639936,0.0,125.683639936,0.0,0.0,0.0,0.0,0.0
2014-06-15,0.154559505,0.000116699731591,0.00163379624227,0.00735208309021,0.0,1370.51403362,0.0,0.0,0.0,0.0,254.641791933,898.337293607,0.0,0.0,0.0,0.0,128.129617063,0.0,0.0,257.652108932,0.0,0.0,129.512338572,0.0,0.0,0.0,0.0,6121.88885033,0.0,129.551442539,0.0,0.0,0.0,171.311080816,0.0,127.859382861,192.321290806,0.0,129.551442539,0.0,0.0,128.130383952,129.473258204,128.546359609,128.130383952,0.0,0.0,0.0,0.0,0.0,193.820863948,129.356158483,943.818616755,0.0,0.0,129.278209608,428.329344819,0.0,0.0,1327.78936241,0.0,129.011897996,259.494634224,0.0,127.512702077,0.0,0.0,0.0,0.0,0.0,128.013662659,128.245781721,0.0,0.0,128.448883463,0.0,128.622093429,0.0,0.0,0.0,0.0,0.0
