week.code,Week,AK,AL,AR,AZ,DE,GA,ID,KS,KY,LA,MA,MD,ME,MI,MN,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
201542,10/18/2015,0.9826589595,3.1,1,1.3,0.06,1.21,0.54,1.0509396637,0.3174726083,2.0417672724,0.7333747669,1.443683883,1.0912870258,0.6291750816,0.78125,1.2404849168,0.232738557,0.498287138,0.1374255612,0.6059075991,1.1614591853,0.4881828749,1.16,0.572452586,0.8015267176,1.617440225,0.23,0.8033595034,0.8181720314,0.7578779418,3.6305692683,1.1283197616,1.7640958586,0.4861744151,0.3495921425,1.8297075349,1.3
201543,10/25/2015,0.5316007088,4.2,0.8,2.3,0.12,0.94,0.39,1.2073769404,0.4233183857,1.8656208913,0.5899214823,1.4425369576,1.0314685315,0.6985953377,0.8316008316,1.407751938,0.1601281025,0.3315833103,0.2097902098,0.4264870932,0.9956331878,0.6893382353,0.27,0.5827630453,0.8169573857,1.3520097442,0.23,1.6112989855,1.017929439,0.6424747174,3.8493667925,1.5148360229,1.5486776764,0.4456327986,0.9708737864,1.5640273705,1.1
201544,11/01/2015,0.9478672986,2,0.9,2.2,0.19,1.16,0.42,1.603557472,0.4947340804,1.9115838529,0.6679156146,1.4369846879,1.0869565217,0.8040239302,1.2874043145,1.1766721883,0.4052684904,0.4896626768,0.2403846154,0.7449605609,1.202912314,0.6609791715,0.72,0.7363291825,0.6609808102,1.3917963225,0.27,1.2223890199,1.2016604763,0.698991329,3.4783931832,1.5366984425,1.6595527462,0.8916509052,0.4266666667,1.6283924843,1.4
201545,11/08/2015,1.121304791,2.3,1,2.2,0.17,1.13,0.6,1.4426826098,0.4925907833,2.1096039067,0.6722894512,1.4460656592,1.3576215845,0.7918093765,1.1098416843,0.9722056543,0.4231311707,0.5657708628,0.2098085497,0.4300047778,1.4506317267,0.663507109,0.88,0.9593618627,1.8106457243,1.5558343789,0.19,2.6101694915,1.0920259356,0.5877742947,3.871372549,1.6046601088,1.6762097227,0.9259259259,0.4019138756,1.5600624025,1.4
201546,11/15/2015,0.7157464213,1.2,1.3,2.1,0.26,1.39,0.53,1.407736208,0.5227897611,2.1996726678,0.645366903,1.6853932584,0.9851365365,0.7545829819,1.4959288014,1.1718316117,0.3424657534,0.9217877095,0.2795248078,0.6528835691,1.4687882497,0.4900504901,0.81,0.6456419171,1.3127550115,1.5595555267,0.19,2.475415395,1.0579628588,0.9393680615,3.9133257086,2.0561438069,1.9030403736,0.7648183556,0.4028566197,1.6169853768,1
201547,11/22/2015,0.7211538462,0.4,1.1,2.3,0.26,1.53,1.13,1.5817223199,0.585229506,2.4348730556,0.869205298,2.6400150858,0.6882487892,0.7332581274,1.9482252469,1.563151313,0,0.697292863,0.1077199282,0.6720430108,2.2784301917,0.8449910806,1.05,0.7687430655,1.7291066282,1.9741697417,0.21,3.1059683313,1.5015417616,1.2358097428,4.7197250132,1.2913795596,2.1701626432,1.2259910094,0.2615844544,2.0162174008,1.2
201548,11/29/2015,1.3211382114,2.3,1,2.9,0.15,1.14,0.98,1.4103607269,0.6079792783,2.2875816993,0.7930214116,2.1111704971,1.0657193606,0.6335204491,0.9205776173,1.5567818763,0.3351955307,0.350262697,0.4638967326,0.987224158,1.2912597853,0.7213640338,1.64,0.6221691305,1.7094017094,1.5645452845,0.21,2.4838380401,1.2132746521,0.9530069011,4.4352937478,1.4170644391,2.0732513271,1.3040901008,0.2854967644,1.5391791045,1.5
201549,12/06/2015,0.5964214712,0.9,1.3,2.7,0.15,1.39,0.54,1.2802476083,0.5359877489,2.0341669602,0.8112124011,1.9123830191,0.960170697,0.708976558,1.800486618,1.5371292488,0,0.8330663249,0.4640839387,1.0672791138,1.7463996027,0.9670595346,2.5,0.9045330025,0.831408776,1.9516217702,0.18,1.3262599469,1.2234456679,1.4723760638,4.4957596812,1.8087855297,2.2207483794,0.8289837274,0.4976958525,1.2594458438,1.3
201550,12/13/2015,0.2262443439,1.3,1.2,2.5,0.13,2.24,0.9,1.3489475245,0.6129628958,2.2088869171,0.7919485233,2.2847100176,0.8982035928,0.9052532833,1.5437704323,1.7854257554,0.7528230866,0.5454545455,0.400168492,1.0995723885,1.8699738397,1.0418274425,1.97,0.7227475274,1.0910224439,2.218087086,0.21,1.2173913043,1.3670064875,1.2088974855,4.6720182716,2.1235521236,2.3655147075,1.2991573034,0.3913491246,1.6161000152,1.8
201551,12/20/2015,0.4225352113,0.8,1.5,2.9,0,2.67,0.49,1.3475462591,0.6392348123,2.6648414328,1.313840407,3.0879345603,0.9021708486,0.8741846547,2.8448275862,2.7638190955,1.0719754977,0.4599816007,0.416933932,1.1773642233,2.1019900498,1.2116008395,3.25,0.9752637645,0.9360374415,2.7391822152,0.2,1.0945273632,1.7574692443,1.2281054963,5.1279682158,2.307776441,2.8080403367,1.3827160494,0.5837449484,1.892828579,2.4
201552,12/27/2015,0.3567181926,0.8,1.3,2.2,0.2,1.95,0.88,1.5635322616,0.5900340239,2.4786142002,1.2422360248,3.5981474884,1.62022035,0.9110363803,1.936416185,2.6292615423,1.0738255034,0.4211511465,0.5094043887,1.4039310068,1.9910782287,1.4374616531,2.4,0.9250920999,0.9323064451,3.0109775222,0.38,1.5645371578,1.4567035339,1.1524822695,5.7073738912,1.5769306347,2.6709513177,1.9325842697,0.7473841555,1.7973856209,1.7
201601,01/03/2016,0.5917159763,0.8,1.1,2.4,0.26,1.62,0.63,1.5926640927,0.6525224654,2.2600165032,1.0382396924,2.2792888619,0.862745098,0.9257693608,0.5568356375,1.5660446396,0.2014098691,0.5294117647,0.3684089339,1.5497553018,1.6042780749,1.189554445,1.157232704,0.8330115298,1.2949039265,2.4317863325,0.3521126761,1.2040557668,1.5021698008,1.2317167052,4.6860150596,2.1070087304,2.3288053991,1.5008156607,0.5542008424,1.7437591777,1.3
201602,01/10/2016,0.332963374,1.8,1.5,2.6,0.21,1.64,0.77,1.2008101852,0.6397143601,2.4438476563,1.0920368672,3.0762564991,0.8721506442,0.6682945637,0.5809595202,1.7292912041,0.9067357513,0.5273952534,0.4800768123,1.3430029546,1.8586339498,0.9095773141,2.569888429,0.8931826467,1.6264521895,2.1558499888,0.468933177,1.1158798283,1.5883977901,1.8160095579,4.1684572411,2.1492443654,2.2283741755,1.3550135501,0.7971470527,1.4780925567,1.2
201603,01/17/2016,0.4329004329,3.2,1.6,3,0.06,1.81,0.83,1.2073334327,0.4342080423,2.4867024261,1.2581263739,2.8092739888,0.9513150532,0.8711237079,0.6767880007,1.8599791014,0.2312138728,0.3285543608,0.4081632653,1.5805318615,2.3577701413,1.2308184143,1.900674433,0.7345476262,2.133825079,2.2780102278,0.5548549811,1.220043573,1.8400802944,1.87742436,4.3604843512,2.6941519601,2.1884337029,1.5256084272,1.0871976925,1.983627204,1.3
