Week,ILI,GFT,AR52,ARGO,state
2011-10-09,0.0,0.0,0.0,0.0,SD
2011-10-16,0.0,0.0,0.0,0.0,SD
2011-10-23,0.0,0.0,0.0,0.0,SD
2011-10-30,0.0,0.0,0.0,0.0,SD
2011-11-06,0.0,0.0,0.0,0.0,SD
2011-11-13,0.0,0.0,0.0,0.0,SD
2011-11-20,0.0,0.0,0.0,0.0,SD
2011-11-27,0.0,0.0,0.0,0.0,SD
2011-12-04,0.0,0.0,0.0,0.0,SD
2011-12-11,0.0,0.0,0.0,0.0,SD
2011-12-18,0.0,0.0,0.0,0.0,SD
2011-12-25,0.0,0.0,0.0,0.0,SD
2012-01-01,0.0,0.0,0.0,0.0,SD
2012-01-08,0.0,0.0,0.0,0.0,SD
2012-01-15,0.0,0.0,0.0,0.0,SD
2012-01-22,0.0,0.0,0.0,0.0,SD
2012-01-29,0.0,0.0,0.0,0.0,SD
2012-02-05,0.0,0.0,0.0,0.0,SD
2012-02-12,0.0,0.0,0.0,0.0,SD
2012-02-19,0.0,0.0,0.0,0.0,SD
2012-02-26,0.0,0.0,0.0,0.0,SD
2012-03-04,0.0,0.0,0.0,0.0,SD
2012-03-11,0.0,0.0,0.0,0.0,SD
2012-03-18,0.0,0.0,0.0,0.0,SD
2012-03-25,0.0,0.0,0.0,0.0,SD
2012-04-01,0.0,0.0,0.0,0.0,SD
2012-04-08,0.0,0.0,0.0,0.0,SD
2012-04-15,0.0,0.0,0.0,0.0,SD
2012-04-22,0.0,0.0,0.0,0.0,SD
2012-04-29,0.0,0.0,0.0,0.0,SD
2012-05-06,0.0,0.0,0.0,0.0,SD
2012-05-13,0.0,0.0,0.0,0.0,SD
2012-05-20,0.0,0.0,0.0,0.0,SD
2012-05-27,0.0,0.0,0.0,0.0,SD
2012-06-03,0.0,0.0,0.0,0.0,SD
2012-06-10,0.0,0.0,0.0,0.0,SD
2012-06-17,0.0,0.0,0.0,0.0,SD
2012-06-24,0.0,0.0,0.0,0.0,SD
2012-07-01,0.0,0.0,0.0,0.0,SD
2012-07-08,0.0,0.0,0.0,0.0,SD
2012-07-15,0.0,0.0,0.0,0.0,SD
2012-07-22,0.0,0.0,0.0,0.0,SD
2012-07-29,0.0,0.0,0.0,0.0,SD
2012-08-05,0.0,0.0,0.0,0.0,SD
2012-08-12,0.0,0.0,0.0,0.0,SD
2012-08-19,0.0,0.0,0.0,0.0,SD
2012-08-26,0.0,0.0,0.0,0.0,SD
2012-09-02,0.0,0.0,0.0,0.0,SD
2012-09-09,0.0,0.0,0.0,0.0,SD
2012-09-16,0.0,0.0,0.0,0.0,SD
2012-09-23,0.0,0.0,0.0,0.0,SD
2012-09-30,0.8672851956000001,0.7771840558859899,0.842494171006438,0.6955292672202993,SD
2012-10-07,1.0761259466,1.0693562381099877,0.8809895138946005,0.7453541027576679,SD
2012-10-14,1.2038359518,1.2311294262541477,1.2875889879470117,1.3529144478274402,SD
2012-10-21,0.645551745,1.3772155173661462,1.2205524986585077,1.0235061530796656,SD
2012-10-28,1.0880937435,1.4732989866881316,0.9812222017143216,1.0526978670439338,SD
2012-11-04,0.9523809524,1.4938883015428432,0.9842553399201144,0.9943547538131592,SD
2012-11-11,1.0229685389,1.5978153193809097,0.9685378961216832,1.3965028838578273,SD
2012-11-18,1.1461318052,2.018425608555725,1.0255952674883266,1.9351065563789296,SD
2012-11-25,1.2001477105,2.3606004125697355,1.1557633112585557,1.6150826962587734,SD
2012-12-02,1.2894786021,2.5272758185364457,1.1701749604515124,1.7481034776534827,SD
2012-12-09,1.278574196,2.7027752165837464,1.3461962371092129,1.876338998370952,SD
2012-12-16,2.2036474164,3.523406480078666,1.3336984146976307,1.6391944672380971,SD
2012-12-23,2.4349286314,5.546061553662916,2.050453024176729,2.3182413519881058,SD
2012-12-30,2.3255813953,7.004961577653887,2.46252402242954,2.4938413057820856,SD
2013-01-06,2.4222704266,10.82378926142057,2.3806493280276584,2.9248779911783727,SD
2013-01-13,2.5299600533,10.817906600033508,2.449158860078451,2.50344289157742,SD
2013-01-20,2.3856466877,7.747157355988,2.5033321753856517,2.4940260853354648,SD
2013-01-27,2.6385224274000003,4.881320816925098,2.470442156188752,2.509168014878476,SD
2013-02-03,2.6750882408,4.168538345526285,2.489988440403375,2.514099193197719,SD
2013-02-10,2.1693344566,3.0106344958399047,2.5575698880151867,2.425531870302434,SD
2013-02-17,1.7688679245,2.6488508205356935,2.1006366337907783,2.0626414546811285,SD
2013-02-24,1.6761904762,2.3929550501985686,1.7118029653540887,1.9081464921398783,SD
2013-03-03,1.6330645161,2.3596199690052257,1.4777133043622397,1.5074957732153769,SD
2013-03-10,1.7647058824,2.051760689749067,1.4281638148007558,1.2896395882755631,SD
2013-03-17,1.532801962,1.615463303542091,1.4748833685909812,1.2801297656572848,SD
2013-03-24,1.5202702703,1.4360421312367495,1.345608275462718,1.232782185156982,SD
2013-03-31,1.0878489327,1.3360368876567237,1.302515224262636,1.2023355805961131,SD
2013-04-07,0.9694619486,1.140928618319222,1.0671987128555491,0.9765604335754736,SD
2013-04-14,0.8651614265,1.009549180674874,0.9156728413569518,0.6733359944062409,SD
2013-04-21,0.7186641302,0.911504824223868,0.8403303573119915,0.989288450924522,SD
2013-04-28,0.7256554306999999,0.8114995806438421,0.7277173084421429,0.7087033509965609,SD
2013-05-05,0.3710575139,0.7438489746926479,0.6362214250003633,0.5612662989994702,SD
2013-05-12,0.1429592566,0.6850223608220444,0.4417880042592556,0.4996397127694541,SD
