Metric,State,Model,2012-13,2013-14,2014-15,2015-16,2016-17,Whole Period,GFT Period
RMSE,WV,GFT,1.959,0.474,1.045,--,--,1.0759999999999998,1.0759999999999998
RMSE,WV,AR52,0.625,0.45399999999999996,0.777,0.536,--,0.514,0.521
RMSE,WV,ARGO,0.67,0.359,0.457,0.45899999999999996,--,0.42100000000000004,0.42200000000000004
PEARSON,AK,GFT,0.6729999999999999,0.932,0.768,--,--,0.669,0.669
PEARSON,AK,AR52,0.655,0.77,0.772,0.701,0.7170000000000001,0.7509999999999999,0.7490000000000001
PEARSON,AK,ARGO,0.695,0.8320000000000001,0.728,0.804,0.7709999999999999,0.79,0.765
PEARSON,AL,GFT,0.915,0.867,0.9390000000000001,--,--,0.8370000000000001,0.8370000000000001
PEARSON,AL,AR52,0.893,0.94,0.792,0.701,0.956,0.86,0.878
PEARSON,AL,ARGO,0.955,0.961,0.868,0.598,0.96,0.868,0.9159999999999999
PEARSON,AR,GFT,0.9129999999999999,0.9490000000000001,0.968,--,--,0.7190000000000001,0.7190000000000001
PEARSON,AR,AR52,0.9390000000000001,0.905,0.86,0.53,--,0.899,0.92
PEARSON,AR,ARGO,0.986,0.9229999999999999,0.8909999999999999,0.672,--,0.912,0.925
PEARSON,AZ,GFT,0.951,0.9129999999999999,0.9129999999999999,--,--,0.847,0.847
PEARSON,AZ,AR52,0.89,0.902,0.955,0.91,0.898,0.9420000000000001,0.9329999999999999
PEARSON,AZ,ARGO,0.9490000000000001,0.946,0.961,0.932,0.8959999999999999,0.955,0.9590000000000001
PEARSON,DE,GFT,0.938,0.623,0.7120000000000001,--,--,0.7659999999999999,0.7659999999999999
PEARSON,DE,AR52,0.927,0.7020000000000001,0.81,0.623,0.6920000000000001,0.887,0.875
PEARSON,DE,ARGO,0.961,0.757,0.8270000000000001,0.861,0.823,0.9159999999999999,0.904
PEARSON,GA,GFT,0.91,0.956,0.879,--,--,0.843,0.843
PEARSON,GA,AR52,0.95,0.895,0.815,0.6759999999999999,0.847,0.9129999999999999,0.907
