Week,NH,athena_flu,athena_ILI,athena_viral,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,body temperature,symptoms of bronchitis,robitussin,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,how long does the flu last,flu virus,rsv baby,flu shot,rsv,tussionex,pneumonia,bronchitis,cough fever,flu and cold,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,human temperature,influenza a,influenza b,flu vs cold,flu medicine,cold symptoms,symptoms of the flu,what is rsv
2014-01-05,0.8268871699,0.00282326369283,0.00282326369283,0.0112930547713,1124.02534006,290.314778264,290.788003347,290.788003347,0.0,543.249440289,115.997094037,116.133005417,0.0,777.863402111,348.644320913,0.0,290.314778264,0.0,387.717403457,12041.4873794,116.010550618,232.187758436,194.275013928,116.431044594,174.722608355,116.277011328,116.470006297,116.487562815,116.066971804,310.338013942,116.593231151,290.726306914,0.0,697.182016195,194.474397989,0.0,891.510304005,931.341513221,116.133005417,348.644320913,1319.48118438,1049.72780973,0.0,116.43823676,0.0,0.0,310.712755534,0.0,174.286901081,0.0,0.0,116.625032229,291.693532188,290.638685774,0.0
2014-01-12,0.97727828,0.00589390962672,0.00589390962672,0.00916830386379,1193.65565269,115.486486694,154.102193282,154.102193282,174.002469464,655.62903386,116.013772512,0.0,0.0,1003.36920458,0.0,115.46788577,115.486486694,115.431196662,404.53709053,8027.80908915,230.822393894,288.763656521,347.189563802,0.0,115.3982744,154.009101803,0.0,116.188966974,115.137718704,384.93598442,173.611580032,192.242087386,0.0,576.890316303,347.822268205,115.908909204,1232.39767581,500.956758039,0.0,0.0,1310.4913536,926.954434441,115.601553749,115.704289854,115.850946468,0.0,231.792805589,0.0,115.529925641,0.0,0.0,115.431196662,115.894118698,231.817818409,116.153885764
2014-01-19,1.0874490258,0.00234375,0.00234375,0.0046875,1069.32344032,152.806314358,229.232977309,229.232977309,0.0,689.117338044,113.975350357,0.0,228.571068512,842.860701591,0.0,0.0,152.806314358,115.35766638,461.152107918,10799.5446082,113.735257835,114.645257798,114.864753445,114.181952201,343.263609539,229.278614612,0.0,0.0,171.359679952,382.477314137,191.359993467,114.421286201,115.069881961,267.452527485,498.544832373,0.0,840.791928376,573.756064434,0.0,0.0,1338.98866762,1111.39850634,114.691325654,114.181952201,0.0,0.0,456.727808803,0.0,114.679294437,0.0,227.813298243,114.458589275,172.891562189,114.87194989,229.704216645
2014-01-26,0.574204947,0.00354107648725,0.00354107648725,0.00920679886686,921.692947661,403.474459332,228.985303366,228.985303366,114.354625581,884.554028937,0.0,0.0,114.492651683,1117.06981405,115.427143189,0.0,403.474459332,0.0,344.364049547,10238.8383902,114.285737252,288.62647518,384.704237512,116.157307354,229.109651292,115.194083326,0.0,0.0,116.017527201,230.492516102,116.613928157,115.113237283,114.561789758,268.559861834,347.011492804,115.653324008,1152.38060312,537.997277219,0.0,115.427143189,1729.84824318,885.646169129,233.016471551,115.405318095,0.0,0.0,0.0,115.119800685,114.389100898,0.0,0.0,0.0,288.003682533,229.230347933,0.0
2014-02-02,0.83081571,0.0042735042735,0.00569800569801,0.00925925925926,1259.73058148,118.185807562,275.597477031,275.597477031,118.495178668,749.155034311,0.0,118.306651316,0.0,908.415265405,157.270787165,0.0,118.185807562,0.0,0.0,8324.1197476,118.556318653,118.377877475,471.891858309,118.003522579,236.443627484,235.678450873,0.0,118.453481577,0.0,275.799026007,117.932307417,117.994897455,117.852734928,354.783541561,434.737030829,0.0,944.618843085,551.740658153,118.306651316,157.270787165,1930.66648302,513.323377686,117.719176741,236.417570974,118.13740337,0.0,177.624156923,0.0,177.071376058,117.790134654,118.003522579,118.735298603,513.717431636,117.888243435,0.0
2014-02-09,0.3635419372,0.00487804878049,0.00627177700348,0.00836236933798,1114.7357307,0.0,111.496092376,111.496092376,112.219132901,1004.70947404,112.061539587,222.578014614,112.36651505,409.691212872,111.791836724,0.0,0.0,0.0,111.248723125,7297.75225289,166.747286977,111.462468931,223.486405803,112.264672287,185.688680642,185.710788359,0.0,0.0,222.767903347,448.230869524,111.416808364,148.46356215,0.0,278.130074918,449.62116835,223.920497301,1597.68581507,594.884412873,222.578014614,111.791836724,1636.95510585,782.291740099,0.0,0.0,0.0,0.0,167.285997059,223.871197301,111.998543207,0.0,112.104583552,112.308040146,335.488312904,111.96024865,112.196879611
2014-02-16,0.5169172932,0.00293901542983,0.00293901542983,0.00881704628949,904.817980848,0.0,150.909146582,150.909146582,113.365395043,679.723179398,0.0,112.876606098,113.38828609,831.898991464,112.876606098,113.569839639,0.0,0.0,188.536625687,9029.35340403,0.0,112.507412475,113.655798844,170.320613883,225.6710252,263.905783661,112.337769211,0.0,112.202422501,528.574538279,112.405565089,112.033697054,0.0,150.614297433,378.282162645,226.297852033,1583.63934475,641.377416557,112.876606098,112.876606098,1358.74051101,756.473744332,112.776154782,169.266245917,112.507412475,0.0,170.73209941,224.607803861,0.0,0.0,0.0,113.879014561,226.905400903,188.173570882,114.131236954
2014-02-23,0.3749639458,0.00146305779078,0.00219458668617,0.00658376005852,949.068029937,119.089031321,118.225127628,118.225127628,118.89970504,1029.18948722,119.215745966,118.269008185,0.0,396.311657316,176.990425492,0.0,119.089031321,0.0,197.707434639,8359.92853254,0.0,0.0,316.834431325,119.05316113,158.14231416,197.635909379,117.126587525,0.0,118.909896195,276.75485791,119.521165695,238.216365773,119.089031321,239.079208027,415.775244856,0.0,1067.65579051,593.396840275,118.269008185,176.990425492,1425.20251116,595.036475691,117.303089314,0.0,119.611811567,0.0,119.48503475,356.837040283,0.0,0.0,0.0,0.0,277.615584174,117.267746413,119.124923132
2014-03-02,0.2948271241,0.00210822206606,0.00210822206606,0.00562192550949,1208.10743085,0.0,0.0,0.0,234.776896653,780.422756482,233.728721193,116.618182286,0.0,508.194493555,350.92908051,117.052240447,0.0,0.0,234.023336917,9337.05378495,0.0,350.761530144,273.621160141,117.074085606,233.453610671,194.899722282,0.0,117.040839546,116.838911756,351.069076718,0.0,116.589370708,0.0,174.924096459,234.738197422,0.0,1325.3792699,780.210757727,116.618182286,350.92908051,1483.06850012,586.31909729,0.0,117.10941638,117.08234902,0.0,0.0,116.931900355,116.864360596,0.0,0.0,0.0,234.548280183,233.547060296,117.169714319
2014-03-09,0.4929143561,0.00136147038802,0.00204220558203,0.00544588155208,1259.25722328,118.609403884,237.119487102,237.119487102,119.003812422,985.058934871,237.41239093,118.456137274,118.99855291,434.242238073,118.42050065,0.0,118.609403884,0.0,237.269285209,6939.06607056,0.0,0.0,157.737355706,118.921372859,157.380533386,296.671297631,118.456137274,116.897545226,116.721494706,354.266151638,0.0,0.0,0.0,176.542227012,316.022888161,0.0,786.877918123,630.13923574,118.456137274,118.42050065,1653.86055346,513.289802951,176.638149089,0.0,0.0,118.680919955,0.0,177.81710974,0.0,0.0,117.003430684,0.0,197.314431887,118.43099022,116.827061328
