Week,UT,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,influenza b symptoms,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,how long contagious,can adults get rsv,rsv in adults,influenza a symptoms,fever cough,signs of rsv,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,symptoms of rsv,flu cold,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,symptoms of influenza,rsv,tussionex,pneumonia,is rsv contagious,how long are you contagious with the flu,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,flu medicine,cold symptoms,stomach flu symptoms,how long does rsv last,how long is rsv contagious,symptoms of the flu,what is rsv
2013-08-11,0.8633396505,0.0,0.00674157303371,0.00674157303371,48.2881379116,0.0,0.0,920.089011702,48.44973748,96.9286261078,96.9286261078,0.0,613.881146512,48.3026956861,129.094294838,0.0,0.0,0.0,48.3523407471,0.0,48.2881379116,145.22637984,64.4645911456,48.9303063684,48.44973748,0.0,0.0,72.7733705138,6340.76701777,48.6587469507,112.797416613,0.0,64.6303009113,161.339046252,0.0,72.2501767408,48.3610146667,121.662958939,49.0783557069,48.9303063684,48.2299944584,129.094327184,47.9065297227,48.87133643,48.7245315744,0.0,97.3392520088,0.0,0.0,96.7242408807,0.0,499.720080872,0.0,48.709899583,290.525800717,48.3523407471,64.4645911456,774.234861707,0.0,290.141354156,191.857481546,48.6365765346,64.5813749636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7720899476,48.9598447363,0.0,0.0,48.87133643,0.0
2013-08-18,0.847399713,0.0,0.00548159749413,0.00548159749413,48.4008167076,0.0,0.0,673.565040346,47.8893522295,80.1876881463,80.1876881463,48.473907642,609.981951138,0.0,72.2116498226,0.0,47.7307782155,0.0,48.0787400911,0.0,47.7883198409,96.5216540809,0.0,0.0,47.8893522295,0.0,0.0,96.1426283579,6089.51641605,72.3968866682,80.1057042025,48.0053421835,48.1844372303,192.41985872,72.117369932,48.1049165559,48.4154172557,143.649759193,48.4300266151,0.0,47.8645594403,224.483113883,0.0,47.9409611125,47.8142893083,0.0,144.338848539,0.0,48.4008167076,96.0648017776,0.0,480.507632975,0.0,0.0,160.34166662,48.0787400911,0.0,834.016871823,48.2020119659,224.140028676,144.348643535,96.2289832596,72.2481753188,48.444644794,0.0,96.2292127532,0.0,48.313398014,96.0840861605,48.313398014,0.0,0.0,0.0,160.186875482,48.444644794,0.0,0.0,48.1917147369,0.0
2013-08-25,1.3953907094,0.000763358778626,0.00687022900763,0.00763358778626,0.0,0.0,0.0,1027.1540661,48.1401595096,0.0,0.0,48.3654719542,674.416417916,48.0879513489,176.451611473,0.0,0.0,0.0,48.0826134247,0.0,47.9020925617,144.41679829,64.0944708776,0.0,48.1401595096,0.0,48.3071124104,72.4598721035,5934.75990282,48.2338262011,112.111065198,0.0,96.3655859389,240.618948921,47.9599104163,48.204607226,0.0,0.0,0.0,47.9599104163,47.8444139433,224.642246441,48.2779854207,0.0,47.9454428717,0.0,144.136767835,0.0,0.0,96.3002133658,0.0,561.04697142,0.0,0.0,208.758205363,48.0826134247,64.0944708776,706.304148514,0.0,208.399829484,96.1637834496,48.1755069658,112.231741807,48.0155515426,0.0,72.1083332458,48.1169724421,48.0734539261,0.0,48.0734539261,0.0,48.1169724421,0.0,144.281197285,72.0647195473,0.0,0.0,96.0889705773,0.0
2013-09-01,1.0642919201,0.0,0.0131118881119,0.0166083916084,0.0,0.0,0.0,996.980116021,47.428752873,47.307305325,47.307305325,47.478989919,443.380062716,47.250239818,47.4636529242,0.0,0.0,0.0,94.4435173215,0.0,47.4217518359,173.858640146,0.0,47.264493284,47.428752873,47.1648992283,0.0,142.222391616,6231.84654608,63.2977923264,79.0125981089,0.0,63.2835050186,268.919781661,142.602075915,47.4215938166,0.0,79.1327067724,47.6200857009,47.264493284,79.0314856881,158.229795285,0.0,47.207530954,70.9469586575,95.3552652646,205.650369279,0.0,0.0,94.7557360123,47.4217518359,647.999189096,0.0,0.0,316.464581902,94.4435173215,0.0,839.046609319,0.0,158.043773647,126.652602318,47.4058967842,47.4989986456,47.5064970094,0.0,94.8843912235,0.0,47.4503536162,0.0,47.4503536162,0.0,0.0,47.2930260297,110.665866834,0.0,0.0,0.0,0.0,47.4217518359
2013-09-08,0.1020705745,0.0,0.00886262924668,0.00886262924668,46.726167059,0.0,0.0,1251.06476307,92.7463636984,46.7966864781,46.7966864781,92.6911379744,710.917077346,45.853928422,154.408269314,0.0,0.0,0.0,0.0,0.0,0.0,262.445842059,77.0879334976,45.8677606779,92.7463636984,92.6072292798,0.0,0.0,6607.99464624,262.19460208,77.0787245766,0.0,123.603601914,185.260469638,46.2199334086,231.238967626,0.0,92.5098666177,77.3255870143,46.3207158468,46.2964897894,123.500574029,45.8677606779,46.3036146399,46.2199334086,46.3595706697,416.989066194,0.0,0.0,92.9925588282,45.8677606779,632.426174825,0.0,0.0,246.996653576,0.0,77.0879334976,1049.9028352,45.7986827251,308.402557744,216.279944835,61.7409563443,138.976206947,0.0,0.0,231.556676121,45.8816012816,0.0,61.6851382345,0.0,46.3595706697,45.8816012816,46.7120886718,123.402823565,69.1583315315,0.0,0.0,0.0,0.0
2013-09-15,0.2187158257,0.0,0.0082135523614,0.00958247775496,0.0,0.0,46.361587766,1034.03477529,61.7493142692,46.2883341925,46.2883341925,46.2453945893,710.579550031,69.3228032395,107.982056216,0.0,0.0,46.4035566143,92.7726274654,0.0,0.0,200.522341176,61.6330875109,46.1468236302,61.7493142692,0.0,0.0,61.7168177821,7144.11349715,185.192491387,0.0,0.0,154.364415966,323.974673626,92.4071374728,123.433441555,0.0,169.612370714,46.2864509331,46.3582772784,185.377087026,207.968409718,92.779117116,46.2883341925,61.5820665401,0.0,540.096637679,0.0,46.2918081336,46.2690938688,46.3039739446,446.975132773,0.0,0.0,370.617241508,92.7726274654,61.6330875109,988.212780095,46.1050995582,416.063502986,262.374004311,92.3493633166,107.977635312,0.0,0.0,138.889427732,46.4035566143,46.1329072177,92.3537263781,46.1329072177,46.2958207066,46.4035566143,46.3249323065,169.554608137,0.0,0.0,0.0,46.3023059203,0.0
2013-09-22,1.0335413417,0.000679347826087,0.00747282608696,0.00815217391304,47.7976024328,0.0,47.1177248912,780.846887493,143.695963339,166.340240764,166.340240764,0.0,494.549973631,47.812012322,159.309607856,0.0,0.0,0.0,48.489887005,0.0,0.0,207.004605231,94.8103267825,0.0,143.695963339,47.812012322,0.0,96.97977401,8000.8341885,414.183098216,79.6454379876,0.0,127.542519263,238.820848508,47.0893321675,143.454727693,0.0,63.6803723798,0.0,94.292303749,94.881857916,366.415174371,0.0,71.2366545757,71.3906734868,0.0,876.236612852,0.0,0.0,127.277765995,0.0,763.954667297,0.0,0.0,557.738154332,48.489887005,94.8103267825,1305.79035353,0.0,668.36810689,318.715701732,72.1653810134,96.2401312143,63.6317390856,0.0,175.222450368,0.0,63.6508791788,95.6528618046,63.6508791788,47.8986544464,0.0,48.3291308998,159.242401892,95.7105883356,0.0,0.0,48.4020695217,0.0
2013-09-29,1.1646866993,0.0,0.00885558583106,0.00953678474114,50.6370256785,50.5613843934,0.0,1062.80899096,50.6682794979,168.682122966,168.682122966,50.6194087157,810.421784157,0.0,118.057660686,0.0,0.0,50.4921636118,50.3943146342,0.0,50.3402617958,337.084746992,75.6759592628,50.4769321899,50.6682794979,0.0,0.0,50.6246159803,7741.26747646,505.666087237,226.967377355,50.4921636118,151.955677862,286.562268172,100.832196571,101.208354583,50.5953822089,126.249493546,50.6948786105,50.6224120149,134.88183661,202.350468899,0.0,75.8314847978,50.6071413024,50.5461504722,1146.85242252,0.0,0.0,134.754581579,0.0,808.583506029,0.0,0.0,506.092923736,50.3943146342,75.6759592628,995.646868626,0.0,606.350230703,404.711173982,84.3080088669,176.843681574,50.3857362871,0.0,387.760006785,0.0,50.4464968976,75.7748339063,50.4464968976,0.0,0.0,50.5461504722,151.654816821,75.843436012,0.0,0.0,75.8010197049,50.5613843934
2013-10-06,1.2919146465,0.0,0.00823610157859,0.00823610157859,0.0,52.9932749041,0.0,1142.57341788,53.105345274,105.47940392,105.47940392,52.8019906995,738.994479598,52.5494156716,210.873979,52.913513804,0.0,0.0,52.684617941,0.0,0.0,245.987992853,122.867059629,52.8195620511,53.105345274,52.4859884952,0.0,87.890856632,8948.02256364,491.807262685,52.5586421434,0.0,175.686475129,228.664598468,87.805902706,123.020552678,52.4701556178,70.2391336534,52.9793791829,0.0,132.024956174,263.587369591,0.0,0.0,52.3911342991,0.0,1353.59079614,0.0,0.0,157.922528938,0.0,667.153494551,0.0,0.0,580.052554104,52.684617941,122.867059629,1089.93086587,0.0,561.721882673,404.382366864,52.5348168731,70.2649684086,0.0,0.0,228.553142991,52.6142299188,0.0,52.7956738065,0.0,0.0,52.6142299188,0.0,263.364720555,52.5018309306,0.0,0.0,52.7303773617,53.1695985653
2013-10-13,1.3136006425,0.000653167864141,0.0104506858263,0.0117570215545,0.0,0.0,0.0,1081.93382286,108.177333577,54.1734941458,54.1734941458,54.0868542552,577.225042655,81.1180907287,108.169998504,0.0,0.0,0.0,107.805340337,0.0,53.9810727765,360.514489379,0.0,54.2167244053,108.177333577,0.0,0.0,162.255293216,7678.62082173,252.252257555,80.8298879426,0.0,108.429427187,252.33917083,80.9306936718,126.196640404,54.0682599757,90.1719973689,0.0,53.8925364663,53.9542580506,360.584968539,0.0,54.1840045958,71.9813769082,53.9541992579,1063.66257556,0.0,0.0,162.064806722,0.0,936.537184059,54.0918805002,0.0,360.721194564,107.805340337,0.0,1045.74138387,53.8113730078,576.072081688,324.619048493,135.084975285,135.36470924,0.0,53.8275861361,270.381726573,0.0,0.0,107.953704498,0.0,0.0,0.0,54.0650765266,80.9679543735,135.155911397,0.0,0.0,188.982269513,0.0
2013-10-20,1.495436007,0.0,0.00583657587549,0.00713359273671,0.0,54.3550201835,0.0,1125.78252599,54.5995814282,145.273913456,145.273913456,81.9446217346,672.54468133,0.0,145.21914852,0.0,0.0,0.0,54.1422955346,0.0,0.0,417.423329043,54.1829046715,0.0,54.5995814282,54.7796312719,0.0,108.652230463,7551.42426021,254.013672983,81.2907557545,54.3877659628,127.193386896,254.254523621,54.2564536895,109.033270327,54.4699703772,81.6524676376,163.015406639,0.0,54.8458302221,308.448337005,0.0,54.3056061831,54.4189630565,0.0,1162.04373135,0.0,0.0,217.571602544,0.0,707.248701329,0.0,0.0,562.922007146,54.1422955346,54.1829046715,1161.40702961,0.0,525.850755984,308.72786273,81.8046489357,108.185927499,72.5002488014,0.0,417.510919834,54.2891629232,54.3550201835,54.3550201835,54.3550201835,0.0,54.2891629232,109.427183867,163.221185032,0.0,0.0,0.0,54.4462603656,0.0
2013-10-27,1.2719990975,0.0,0.00776287932251,0.00776287932251,0.0,0.0,0.0,1057.77813351,89.6469536352,125.524030932,125.524030932,80.4658384546,520.477340414,53.5805730987,125.502421529,0.0,0.0,0.0,71.5549840197,53.5416718905,54.0511548641,430.066459926,107.584161925,53.5482176802,89.6469536352,0.0,0.0,80.8830939833,6485.72230522,286.823309435,53.8145512657,54.2966187826,179.375546669,197.148956173,80.6244542275,188.318452332,0.0,125.276462889,80.5551594763,0.0,89.6145751791,233.06904725,107.360896333,53.9221511651,53.4191858303,0.0,717.148204243,0.0,0.0,214.911458915,0.0,895.501890055,0.0,0.0,430.412848491,71.5549840197,107.584161925,950.297243794,53.7266576664,716.235351552,466.213979043,89.5820240615,125.518894708,80.6881214438,0.0,268.908505704,0.0,0.0,80.2558469932,0.0,53.6304264452,0.0,53.8732349502,143.292374683,80.7298310123,0.0,0.0,107.81963044,0.0
2013-11-03,1.2629953396,0.000668449197861,0.00935828877005,0.00935828877005,0.0,0.0,0.0,1001.8958567,71.5505481122,107.252891448,107.252891448,80.5287178945,949.265804359,53.6912510964,196.776028421,0.0,0.0,0.0,80.2383058975,0.0,53.6588288433,268.294444074,89.3614787756,0.0,71.5505481122,0.0,0.0,80.5207300112,8174.63321973,160.928341149,107.323345295,53.5725541808,178.814487868,321.888579771,0.0,107.339424265,107.207106047,108.110287029,80.6993032588,0.0,107.382502193,411.357491441,0.0,53.5591131864,80.1092846843,0.0,822.909092539,0.0,53.5187836922,250.089864486,0.0,678.983158417,0.0,0.0,465.157085381,80.2383058975,89.3614787756,1108.81686997,0.0,643.194723647,250.440423674,215.176345508,89.4369844324,107.166752147,0.0,178.846711082,53.7616314228,53.7454186268,134.077198772,53.7454186268,0.0,53.7616314228,53.5887245865,268.310453248,53.615664941,0.0,0.0,53.4918483143,53.5617966031
2013-11-10,1.163906516,0.000681198910082,0.0129427792916,0.0129427792916,0.0,0.0,0.0,1171.26732321,0.0,108.001039358,108.001039358,54.1278821202,757.960926764,54.0080934885,162.174414255,0.0,0.0,0.0,161.941227294,0.0,53.9349545765,342.244683594,54.0540958146,54.1519312822,0.0,0.0,0.0,198.341140818,8161.70214873,108.043731701,107.976999578,53.9572184636,135.578037229,251.9844289,0.0,162.375653502,54.1033763074,80.7570141727,54.0577235724,53.9136547234,54.0709166995,432.157127049,0.0,53.8486789419,143.947689804,108.264062573,684.657287107,0.0,54.0060337999,89.9292185738,54.102969319,1043.91238834,0.0,0.0,540.618431304,161.941227294,54.0540958146,1063.26621274,0.0,539.781551764,288.286104975,54.0789246571,108.1399698,107.870946978,0.0,108.047472818,0.0,81.0084501369,108.271201568,81.0084501369,0.0,0.0,0.0,71.9954374549,81.1632223859,0.0,0.0,54.1278722543,0.0
2013-11-17,1.8026114077,0.0,0.0139720558882,0.0153027278776,0.0,0.0,0.0,1400.68114722,84.5015384627,168.075631235,168.075631235,140.05521538,915.824625631,55.9875411882,194.995542283,0.0,0.0,0.0,149.238670114,0.0,0.0,410.660335755,74.582242208,83.5550977738,84.5015384627,0.0,0.0,84.6121632756,9150.56140637,205.25732508,149.232106496,0.0,112.17500247,149.35572855,55.6782363958,93.3472641609,0.0,93.5348306994,56.0780400658,110.844608422,55.980271335,280.019221206,0.0,0.0,130.304545794,55.9537934238,802.960589567,0.0,0.0,223.729485032,56.5082639674,1119.01320452,0.0,55.3888770069,541.60599387,149.238670114,74.582242208,970.856849739,56.816397488,764.693450484,410.851899191,55.4390329475,167.963426688,84.3487735151,0.0,130.618560317,55.4055855671,56.2127114992,55.3888770069,56.2127114992,56.0044303409,55.4055855671,56.2805296568,167.884295739,113.221206223,0.0,0.0,0.0,56.1568924925
2013-11-24,1.8471618125,0.0,0.0131291028446,0.0131291028446,0.0,0.0,0.0,1203.96623274,66.987122197,266.078720953,266.078720953,67.1059536925,691.978546877,67.1287868059,133.724695705,0.0,0.0,67.0628975577,266.467641468,66.419439611,67.0882500989,222.977876634,66.7425345433,0.0,66.987122197,0.0,0.0,156.07530337,8958.19656737,67.2048510754,199.888045355,67.0628975577,67.0048204005,245.072865853,133.597099787,156.014507978,134.287880668,100.412709803,0.0,0.0,167.689014564,445.733503659,0.0,66.6403691047,66.9265916649,0.0,847.243882615,0.0,66.6393120185,222.688606999,0.0,1068.72990937,0.0,0.0,557.310275074,266.467641468,66.7425345433,1270.39457064,66.9416995501,578.954607887,379.012418474,66.835472551,66.7297999771,66.6393059763,0.0,267.537102609,0.0,100.441605747,89.017787351,100.441605747,67.0426674227,0.0,133.540063963,111.374567103,0.0,0.0,67.1896838003,67.014940432,0.0
2013-12-01,2.7997084902,0.0041928721174,0.0202655485674,0.0202655485674,0.0,60.8705389962,0.0,1234.54999523,60.4699340729,222.619338884,222.619338884,60.4243074013,830.369565238,61.3584764854,283.260484099,0.0,0.0,0.0,60.2335671487,60.3707203787,0.0,424.988870587,151.800981811,0.0,60.4699340729,60.4070663873,0.0,152.53050791,12531.8038846,182.805131419,60.6291665326,0.0,162.229901828,262.925198533,301.29979423,213.060790364,60.6260648153,60.3888879141,60.8506103101,180.779876538,61.3584764854,505.587040099,0.0,121.728683833,0.0,121.833091188,242.790346476,0.0,60.4070663873,303.108332201,61.1920931506,1172.21960549,0.0,0.0,708.36563255,60.2335671487,151.800981811,1052.57795653,0.0,707.352786228,262.998120573,101.111297423,60.7022800534,91.3288725505,0.0,121.731901068,0.0,101.044247024,101.019918823,101.044247024,0.0,0.0,60.6854684536,222.418073918,101.184495023,0.0,0.0,60.461667532,61.2105356139
2013-12-08,2.6673532441,0.00511322132944,0.0219138056976,0.0233747260774,64.8290654444,0.0,0.0,1058.8923739,64.842508427,194.820187726,194.820187726,0.0,908.229686694,64.9465803667,151.193034718,0.0,0.0,0.0,97.1764359356,0.0,0.0,583.118669543,172.80828228,64.7544854452,64.842508427,0.0,64.8260616935,129.906684053,12818.1763876,226.924979561,129.255672199,129.540934627,194.501800117,280.882535854,64.7509581366,86.446389668,129.847476861,194.399261276,64.7971120639,64.9990006964,129.372522547,518.606579283,64.8095209568,65.1365855179,64.2597457323,64.9465803667,345.720099751,0.0,64.8815326228,323.603899741,0.0,1424.39095298,0.0,0.0,756.357514711,97.1764359356,172.80828228,993.369977603,64.4339438382,776.805893949,345.550756481,129.5799765,86.4530202133,129.441677591,0.0,172.775429452,64.5506015518,129.612918652,129.480583563,129.612918652,0.0,64.5506015518,86.3225703941,151.154014968,86.4267382142,64.5700855849,0.0,64.9629347124,64.7068038544
