Week,NM,athena_flu,athena_ILI,athena_viral,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,rsv in adults,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,type a flu,symptoms of flu,cold,flu shots,high fever,body temperature,symptoms of bronchitis,robitussin,walking pneumonia,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,rsv,pneumonia,bronchitis,cough fever,flu and cold,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,influenza a,influenza b,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,what is rsv
2013-11-10,2.3424955134,0.000858221764504,0.00240302094061,0.00566426364573,1117.72268974,0.0,207.050543565,207.050543565,125.263343028,827.353554251,186.822674467,0.0,123.260563257,0.0,413.402919557,124.414524176,0.0,0.0,0.0,124.51720208,8560.20253001,165.645055627,125.338893898,413.61466829,125.263343028,124.545955562,308.501011001,125.301107074,0.0,124.49827663,186.753381767,413.651286403,125.03723591,125.150187343,125.263343028,123.652212057,705.614711575,0.0,248.617567729,1159.19244769,456.546093318,123.260563257,124.414524176,910.136512115,414.350893838,187.048897307,123.206082609,123.540377075,0.0,250.677787796,124.148628448,123.652212057,123.951430961,289.610788531,125.187883183,0.0,0.0
2013-11-17,2.4162548051,0.000504201680672,0.0018487394958,0.00672268907563,1200.46671675,0.0,120.08637221,120.08637221,119.967064226,760.231624277,120.117446811,0.0,120.122553702,0.0,160.009063714,119.626297626,0.0,0.0,0.0,120.109175468,9915.11650002,240.151380095,120.303788696,240.291362887,119.626297626,240.109567292,119.858700092,0.0,119.662362231,120.303788696,180.370287249,439.851991931,120.117446811,0.0,120.117446811,0.0,682.70363944,0.0,300.689736335,1120.67578662,561.475634967,120.122553702,119.626297626,919.732207036,440.80648696,0.0,180.079122351,0.0,119.864415776,180.424828999,120.919688411,0.0,119.662362231,240.055679021,119.554233591,119.891936133,120.024207899
2013-11-24,2.3561129996,0.00138696255201,0.00305131761442,0.00887656033287,934.302698672,133.618907794,200.138233368,200.138233368,133.296837514,799.62793128,0.0,0.0,0.0,0.0,467.686303615,0.0,0.0,133.618907794,0.0,266.754418877,8800.71575236,267.097936161,133.538244403,133.640387329,133.248063112,133.615087496,133.197565738,0.0,0.0,267.339726688,133.449222628,666.783507026,0.0,133.580445871,0.0,0.0,401.479071717,0.0,133.640094758,979.225099177,669.511699791,0.0,0.0,977.922674164,534.991016643,0.0,200.497361923,0.0,0.0,266.857034859,133.993323389,133.912311706,0.0,266.823433573,0.0,0.0,0.0
2013-12-01,2.315545732,0.00268384326355,0.00375738056897,0.00715691536948,817.760333631,116.581493222,155.789483498,155.789483498,155.65990544,856.472554107,116.404917199,0.0,155.531070782,117.153210416,583.146311264,117.518040582,0.0,116.581493222,0.0,116.976492622,9337.49571503,116.511221113,117.588962755,292.841661474,0.0,235.106981944,155.507596283,0.0,116.942213294,117.588962755,232.672957151,233.443283342,0.0,0.0,116.80150973,0.0,312.592472538,0.0,174.801941279,1168.80155616,546.813111957,155.531070782,117.518040582,1245.06970934,507.218920009,117.588962755,233.655390698,0.0,0.0,194.69817657,117.293265018,233.516994481,0.0,116.845125376,116.923612572,117.447203909,0.0
2013-12-08,2.6801667659,0.00192813321648,0.00280455740578,0.00858895705521,1145.55635164,369.635912928,245.13807039,245.13807039,122.236569458,817.908261002,0.0,0.0,0.0,0.0,245.214975045,123.249127783,0.0,369.635912928,0.0,123.323508669,11119.1097868,183.833576201,0.0,122.749268786,123.211970976,246.572614014,204.334761844,0.0,0.0,122.653481084,0.0,553.332920183,122.579504316,0.0,122.915521121,0.0,369.175054961,0.0,123.006166086,1350.83164924,451.677934002,0.0,123.249127783,1185.38913304,778.671443676,0.0,123.024708327,0.0,0.0,245.86403155,0.0,0.0,0.0,0.0,122.16293297,123.174836566,0.0
2013-12-15,3.6815728604,0.00506329113924,0.0062447257384,0.0104641350211,1168.34452684,0.0,216.342295873,216.342295873,261.018384049,735.37640994,130.158810492,0.0,130.587906857,0.0,561.961331931,129.576426408,0.0,0.0,0.0,129.424942499,7220.18468086,129.862526959,129.351851243,130.276933905,0.0,303.213146905,216.003018279,0.0,0.0,129.312819302,195.199040709,389.410875425,0.0,0.0,130.509192025,129.04025389,260.43269742,0.0,216.537674801,995.570666571,607.606792998,130.587906857,129.576426408,1124.25832097,693.338454463,129.664957086,129.704201927,0.0,129.929068633,130.06059228,130.097960889,0.0,0.0,258.714271077,129.849179433,130.509192025,0.0
2013-12-22,5.3554040896,0.0145259938838,0.0158002038736,0.0216615698267,1092.85069836,222.596581092,149.355656365,149.355656365,370.904608492,893.007247793,148.330498132,0.0,149.220214355,148.715382197,793.599363387,150.147638155,0.0,222.596581092,149.287738238,224.185320251,8488.09848767,149.287697508,0.0,444.132245839,0.0,223.090478796,149.966846297,0.0,150.192904251,149.065933729,224.021892693,446.704434885,0.0,148.887920116,223.639495867,148.133238274,448.946811124,0.0,298.281993233,1492.01389545,796.402018328,149.220214355,150.147638155,1836.11656971,696.227772422,0.0,148.895425033,0.0,0.0,148.442513279,150.015803526,0.0,0.0,198.68020337,298.448106243,148.856331129,0.0
2013-12-29,6.5390099817,0.0135998351535,0.0164846486709,0.0212239851638,1428.28535767,267.894464711,200.524571357,200.524571357,0.0,1159.30576031,0.0,0.0,133.94014959,0.0,1248.10723849,133.918606991,0.0,267.894464711,133.776105884,402.362446554,10479.6932952,267.984903591,178.582775977,334.316408221,134.020909402,134.092824603,178.300417839,133.837945259,0.0,134.142231891,133.695517868,802.285985402,0.0,134.548231382,0.0,0.0,492.08564997,0.0,334.725820833,1519.0148943,985.350735927,133.94014959,133.918606991,1204.08636379,1385.29764114,134.126502765,201.139530289,0.0,0.0,178.528990205,134.466834993,0.0,134.466834993,401.815894696,133.94014959,222.949288699,0.0
2014-01-05,5.8620994085,0.0167960479887,0.0182074805928,0.0244177840508,1251.64380643,120.270257699,322.909095461,322.909095461,0.0,605.756062306,243.695233196,0.0,121.372235552,0.0,1451.68181473,362.96146235,120.34281894,120.270257699,0.0,323.200769519,10246.9417069,565.351413917,201.930285095,282.517979487,120.980982885,244.580324842,120.94458123,121.372169463,303.713889159,161.563699415,121.884373043,483.925511418,121.353997847,121.335551016,282.250092126,120.379132404,1336.34935451,0.0,202.027847782,2059.56332544,1011.66875393,121.372235552,362.96146235,1814.90493117,1254.2094179,121.154773785,242.309547569,0.0,0.0,605.7790167,305.557229417,121.628809526,121.118248378,424.211603584,120.601869497,182.067306924,0.0
2014-01-12,5.2375764686,0.0160317693778,0.018385056626,0.0279452860715,865.686615657,118.628162447,117.796374295,117.796374295,176.614179064,510.815584647,0.0,0.0,118.3354343,118.63513864,1100.45490563,393.0877612,237.242020017,118.628162447,0.0,275.622964728,8571.24643689,354.387555322,355.937905964,314.59639599,236.984150929,118.056080845,196.466874122,0.0,233.865575784,117.038641351,294.339129733,593.104648907,116.686539542,118.958297311,176.38382371,0.0,828.680887961,0.0,530.574677861,1535.4206111,710.110464694,118.3354343,393.0877612,1493.96665561,1536.61020795,118.176935381,238.031869357,117.109316859,118.850382315,354.221274152,358.131737867,118.54948694,177.83558438,314.845479494,117.717909932,176.51470387,117.895855414
