Week,NV,athena_flu,athena_ILI,athena_viral,thermoscan,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,rsv in adults,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,flu cold,flu treatment,body temperature,symptoms of bronchitis,robitussin,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,rsv,tussionex,pneumonia,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,cold vs flu,human temperature,influenza a,influenza b,normal body,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,what is rsv
2015-10-25,0.6893382353,0.00229533282326,0.00408059168579,0.0114766641163,0.0,634.736956385,59.5941846199,59.4424034364,59.4424034364,59.5884975624,436.894737145,59.5224057289,0.0,89.4013193987,0.0,298.189230144,59.4934851286,0.0,59.5941846199,0.0,59.4576348814,7272.91722934,218.495101945,119.353804675,178.615045384,89.1949992289,238.183591244,0.0,59.6588948231,119.238848754,59.5502991213,0.0,0.0,337.8238696,59.4576348814,59.3681980058,59.6211055828,0.0,954.027401364,0.0,119.196456277,0.0,914.44723827,417.073907112,89.4013193987,59.4934851286,1015.4879942,0.0,456.954202757,357.662309261,149.088720809,118.903501611,59.4450404512,0.0,198.837167021,59.7309901643,119.176995125,59.7490412342,0.0,178.740747503,59.6193021666,59.7383281872,59.6408981731,118.843655629,119.498082468
2015-11-01,0.6609791715,0.00153491941673,0.0043489383474,0.013302634945,0.0,833.311811522,129.086000035,64.1055865021,64.1055865021,128.404401908,599.214956748,0.0,0.0,128.697407126,64.0571811971,278.234980116,192.941259157,64.2408376742,129.086000035,0.0,107.010431836,9543.26784673,128.313948474,256.015654783,213.968252721,64.4845900626,235.207849801,0.0,64.2506291311,63.9413105046,63.9605931676,129.124987048,64.2895743412,278.332401367,0.0,0.0,63.9605931676,0.0,620.904404114,0.0,96.4462972588,64.7188665024,792.122877778,470.744479599,128.697407126,192.941259157,987.344595992,0.0,449.531273817,214.175350278,127.882621009,191.712960534,63.9700241459,0.0,278.546052095,64.2024431892,63.9507676666,0.0,0.0,85.5254001104,64.3188877233,256.951097722,64.1974473521,64.4457087903,0.0
2015-11-08,0.663507109,0.00104193800469,0.00364678301641,0.0104193800469,0.0,822.58752078,133.065345974,133.248098208,133.248098208,133.732055974,668.220266131,66.4858205421,0.0,133.555619207,0.0,245.058175832,100.410866078,66.9748613451,133.065345974,0.0,88.9706991529,9909.27286623,178.162486842,0.0,222.587058442,66.8861987373,222.44640128,66.866024947,156.149168354,134.029883547,133.14557832,100.603021284,133.756620872,267.072536444,66.6596799633,66.4186687672,66.5960671072,66.8862352675,579.274496973,0.0,133.576368077,0.0,980.1379892,400.621810213,133.555619207,100.410866078,1205.87809669,0.0,556.689538457,222.627928409,132.917432402,111.045676516,66.4926051323,0.0,167.635898189,0.0,66.6193900388,66.6193900388,0.0,111.259982775,0.0,222.937469165,133.051490756,134.4343162,0.0
2015-11-15,0.4900504901,0.0035008752188,0.00825206301575,0.0170042510628,0.0,856.195834835,150.136684435,64.1773308989,64.1773308989,128.205475972,686.06156166,64.1220228048,0.0,64.3043764772,64.2186212122,278.956610401,96.408151665,0.0,150.136684435,64.7393965008,128.437242424,9351.08071485,128.645215259,64.4658222324,257.186649935,128.282638461,214.326681329,64.2961097446,128.930734271,129.024919775,0.0,64.3126704968,64.3908366094,214.501670269,0.0,64.3492826321,64.4074997153,64.29325242,557.886960286,0.0,64.3322278908,64.4684383939,1115.33370053,621.915217286,64.3043764772,96.408151665,1032.48260979,64.2961097446,557.667342714,278.98938328,64.3880823202,149.820082239,0.0,0.0,64.476979577,64.1606272737,64.2350684811,64.2350684811,0.0,160.702732546,0.0,214.657125647,257.707715301,0.0,0.0
2015-11-22,0.8449910806,0.0042735042735,0.00915750915751,0.0222832722833,0.0,907.235744209,0.0,122.530156842,122.530156842,92.5161988382,702.20957305,61.8773410703,0.0,125.037495281,62.3868912884,371.920619029,92.5908102689,0.0,0.0,0.0,93.2987741866,10121.7995411,144.507784362,62.1772195543,217.624887617,0.0,185.711298349,61.4314089505,186.135608443,206.503126837,62.1584095478,0.0,82.5688651805,310.000844069,0.0,62.1680546762,61.4128831939,0.0,227.300663916,0.0,61.6898870735,62.1755741888,805.885879283,454.358358312,125.037495281,92.5908102689,766.531947042,93.4207200458,289.021649286,227.170402496,0.0,92.7273186512,62.3493201403,62.1003693818,62.3465806215,62.330551531,62.330551531,0.0,0.0,144.426804413,0.0,165.330889085,82.5002787275,0.0,0.0
2015-11-29,0.7213640338,0.00230840258541,0.00646352723915,0.0189289012004,57.8978525636,772.104010705,58.0093639331,96.4687040485,96.4687040485,77.2331645073,483.422561134,87.2285859372,0.0,115.744730497,0.0,290.18086356,115.931192197,115.482649751,58.0093639331,58.037702449,174.277515277,10983.8825411,115.83059386,174.509798472,212.463768609,57.9851796414,309.118944856,57.9676931578,290.397968152,193.532528013,58.2676935878,77.4840903506,57.7764555593,483.567555226,116.852538214,58.0727705472,0.0,0.0,386.853224922,0.0,96.6549519875,58.0270449792,986.222499138,773.210816411,115.744730497,115.931192197,1046.42952909,0.0,444.892068268,154.839619912,202.987343607,202.126189789,0.0,58.3028581585,57.9688190759,0.0,87.3076689803,86.9098949043,58.1606264784,173.828027113,231.731007247,174.332413052,135.143398377,0.0,0.0
2015-12-06,0.9670595346,0.00363284088157,0.00653911358682,0.0203439089368,0.0,1126.63402975,85.5470440027,153.48923986,153.48923986,102.276235265,786.596433898,51.4557953236,0.0,50.8856268731,0.0,461.806263687,136.718424322,50.6563434838,85.5470440027,0.0,51.243849577,9439.48108411,152.426906409,102.523354533,273.467602918,101.740553519,273.287558481,0.0,188.235753046,102.5647096,77.2108895125,51.3933602735,85.4956033226,478.844747088,103.005103364,51.4250809363,68.4468973187,50.9163549087,307.925732694,0.0,136.800812491,0.0,940.737986688,871.842551002,50.8856268731,136.718424322,1252.07162159,51.5646965407,410.356395106,256.579623257,76.6265703318,204.676309485,102.943070781,0.0,102.625115097,76.6345145966,68.4057264635,103.035992691,51.0241959025,222.193138337,76.8817113199,273.90720694,51.0998088514,50.8396042983,0.0
2015-12-13,1.0418274425,0.003861003861,0.00916988416988,0.0222007722008,0.0,1045.72595189,112.812800264,130.597029251,130.597029251,74.7184980988,767.14893927,169.037865087,113.066075772,112.35452608,56.4308389626,355.507556886,149.521373007,55.3676647565,112.812800264,0.0,84.7259779073,10026.0666592,74.8481814581,169.085732904,224.245422058,0.0,224.285017851,55.4511755631,299.500417426,130.878593021,56.3845297248,111.204263153,112.735097985,486.635209202,84.0568958634,56.3459550291,56.5037539284,56.406400132,243.254950148,0.0,225.674241525,56.5125406959,1178.81405306,598.294153245,112.35452608,149.521373007,1087.80363746,111.406452722,673.43047207,261.99443002,93.4234387403,197.197245752,0.0,0.0,141.332482057,111.069877336,55.9619243943,0.0,0.0,205.619340999,140.314936455,243.526836336,93.3783494252,0.0,0.0
2015-12-20,1.2116008395,0.00524367674275,0.00863664404688,0.0280690931524,62.3055289618,1106.67942351,93.7311222714,93.4677135145,93.4677135145,104.395305091,794.851193304,0.0,0.0,104.933136852,62.9259147898,418.19823829,125.673764892,62.4072873981,93.7311222714,0.0,125.399287999,10394.3039362,62.427824506,104.47706529,125.405179178,62.7659243094,271.593899432,62.5014160367,167.406908232,157.094893316,62.6899556412,62.4106987724,125.305227797,460.080370475,62.6526138983,62.4295539684,62.7783136041,0.0,251.11318585,0.0,167.349814095,63.3178326625,1004.16863454,710.757545821,104.933136852,125.673764892,1069.23740242,0.0,460.193550468,125.965951892,104.483355724,104.357445353,0.0,0.0,125.040551697,62.1853215875,62.3353917452,0.0,0.0,218.332541553,124.558061263,251.170802603,125.323313062,62.7658559354,0.0
2015-12-27,1.4374616531,0.00555247084953,0.00832870627429,0.0202665186008,61.9857588045,921.72962667,123.112893904,184.252253317,184.252253317,122.610410117,759.456471885,102.545597862,0.0,61.6963043787,61.17123635,513.148618506,183.714502868,92.5085000964,123.112893904,61.4303580773,61.139316049,11964.1673476,92.0421856109,122.467198937,307.556069526,61.3607016231,225.479236167,0.0,205.562729796,214.880227554,122.416239642,184.179619092,184.901922598,554.327252586,123.181046514,124.346053916,154.353197193,61.2751025918,225.788164564,0.0,348.913298954,0.0,1252.4318009,1005.30854481,61.6963043787,183.714502868,1440.33525284,0.0,574.869360102,287.175179361,92.5170525388,184.800431356,122.946020831,61.3607016231,61.3607016231,61.2752976322,91.8667860506,0.0,0.0,102.551725885,123.72543067,266.879956063,123.123683263,92.3590046258,61.4534195161
2016-01-03,1.189554445,0.00715342871238,0.00986679822398,0.0214602861371,0.0,1049.62380355,97.0735087247,80.6834694189,80.6834694189,80.7954136846,631.032984661,96.9503302951,0.0,97.2598138742,48.0370571562,291.210614004,80.8539243805,64.5617923374,97.0735087247,0.0,64.6785056595,9995.81352367,96.8846757188,113.161304247,258.673780912,48.8164582325,210.088549843,96.7157915542,178.123138668,178.079298681,48.7870152541,48.4565574988,96.6356624669,452.938450195,48.5264682794,48.4752445724,48.1966487083,48.6013934122,291.239693932,0.0,355.795864196,48.3133829467,1019.44166979,954.134204348,97.2598138742,80.8539243805,1232.64029297,0.0,614.79709587,242.825603908,72.6141599073,161.415499405,97.285431738,0.0,97.23211778,96.0452024514,0.0,48.4989822882,0.0,113.219773358,146.024428243,226.669936299,48.3032754718,48.7870152541,48.8902213909
2016-01-10,0.9095773141,0.00754257907543,0.0111922141119,0.0189781021898,0.0,926.031671316,91.086680594,182.142886726,182.142886726,45.7195981578,653.995032527,68.2325852581,0.0,76.2992257566,45.2231973258,273.885152359,68.2738755081,0.0,91.086680594,0.0,75.9129015042,8681.95750998,45.8990531023,106.425213564,273.554713912,45.7100403979,243.097337879,45.3050245827,182.797573834,91.221731215,68.198290621,0.0,136.952060788,395.698260762,45.8022488324,0.0,68.2806681643,60.8097896839,197.779799244,0.0,288.969177996,45.8298655034,1019.27414702,638.413587778,76.2992257566,68.2738755081,1173.42282078,0.0,395.651745909,182.608762437,45.6318175669,212.415535497,68.2052775734,0.0,0.0,0.0,114.423578714,91.484278555,0.0,121.555473321,45.9267866691,258.820320079,60.7731379073,45.7099822872,0.0
