Week Start Date,Year,MMWR Week,State,Visit Count,Flu Vaccine Visit Count,Flu Visit Count,ILI Visit Count,CDC ILI Visit Count,Unspecified Viral or ILI Visit Count
03/28/2010,2010,13,IL,19826,62,3,17,14,127
03/28/2010,2010,13,IN,1589,6,1,7,6,10
03/28/2010,2010,13,KS,4298,4,1,10,9,20
03/28/2010,2010,13,KY,8626,2,7,27,21,79
03/28/2010,2010,13,LA,8657,79,38,68,32,180
03/28/2010,2010,13,MA,42143,341,16,159,143,512
03/28/2010,2010,13,MD,4960,30,2,16,14,36
03/28/2010,2010,13,MI,2447,23,0,5,5,11
03/28/2010,2010,13,MO,2146,4,3,4,1,32
03/28/2010,2010,13,MS,3537,3,9,25,17,40
03/28/2010,2010,13,NC,6043,21,27,82,55,116
03/28/2010,2010,13,NH,189,0,0,0,0,1
03/28/2010,2010,13,NJ,6377,60,16,27,11,138
03/28/2010,2010,13,NM,4096,32,4,6,2,22
03/28/2010,2010,13,NV,199,0,0,0,0,0
03/28/2010,2010,13,NY,7971,50,2,5,3,102
03/28/2010,2010,13,OH,55036,202,33,175,143,551
03/28/2010,2010,13,OK,2840,2,7,36,29,41
03/28/2010,2010,13,OR,2832,3,0,3,3,11
03/28/2010,2010,13,PA,7501,34,4,6,2,51
03/28/2010,2010,13,RI,2888,65,0,8,8,43
03/28/2010,2010,13,SC,7041,22,6,32,26,79
03/28/2010,2010,13,TN,7720,15,19,28,9,43
03/28/2010,2010,13,TX,24274,211,74,145,72,296
03/28/2010,2010,13,UT,1484,9,8,25,17,55
03/28/2010,2010,13,VA,13793,18,8,60,52,96
03/28/2010,2010,13,WA,1226,0,0,2,2,2
03/28/2010,2010,13,WI,341,0,0,0,0,0
03/28/2010,2010,13,WV,760,1,0,0,0,3
03/28/2010,2010,13,WY,379,0,0,1,1,1
04/04/2010,2010,14,AL,1910,2,6,13,7,15
04/04/2010,2010,14,ALL STATES,315345,1203,292,1059,782,3020
04/04/2010,2010,14,AR,4685,7,4,19,15,38
04/04/2010,2010,14,AZ,9361,7,3,11,8,21
04/04/2010,2010,14,CA,6630,72,6,8,2,28
04/04/2010,2010,14,CO,1353,0,1,2,1,24
04/04/2010,2010,14,CT,2910,11,4,11,7,33
04/04/2010,2010,14,DE,351,0,0,0,0,3
04/04/2010,2010,14,FL,9196,23,38,72,38,143
04/04/2010,2010,14,GA,15545,25,18,95,77,141
04/04/2010,2010,14,IA,100,0,0,0,0,0
04/04/2010,2010,14,IL,21784,86,12,25,13,113
04/04/2010,2010,14,IN,1539,4,2,7,5,12
04/04/2010,2010,14,KS,4103,1,2,5,4,25
04/04/2010,2010,14,KY,8182,0,1,26,25,69
04/04/2010,2010,14,LA,10401,63,21,47,31,185
04/04/2010,2010,14,MA,44724,243,9,147,140,509
04/04/2010,2010,14,MD,5688,45,5,12,7,44
04/04/2010,2010,14,MI,2268,16,2,3,1,11
04/04/2010,2010,14,MO,2183,2,2,3,1,29
04/04/2010,2010,14,MS,3686,0,3,9,6,24
04/04/2010,2010,14,NC,6252,7,28,98,71,119
04/04/2010,2010,14,NH,188,0,0,0,0,1
04/04/2010,2010,14,NJ,8528,46,20,32,12,165
04/04/2010,2010,14,NM,4007,33,1,4,3,18
04/04/2010,2010,14,NV,292,0,0,2,2,2
04/04/2010,2010,14,NY,8306,13,0,1,1,116
04/04/2010,2010,14,OH,56044,138,23,144,121,457
04/04/2010,2010,14,OK,2966,1,5,24,20,32
04/04/2010,2010,14,OR,2648,3,0,2,2,10
04/04/2010,2010,14,PA,8113,12,6,10,4,47
04/04/2010,2010,14,RI,3473,103,0,6,6,41
04/04/2010,2010,14,SC,8083,10,6,32,26,81
04/04/2010,2010,14,TN,8157,12,9,16,7,34
04/04/2010,2010,14,TX,25924,204,43,123,81,318
04/04/2010,2010,14,UT,1428,7,8,14,6,35
04/04/2010,2010,14,VA,11603,7,4,36,32,70
04/04/2010,2010,14,WA,1308,0,0,0,0,0
04/04/2010,2010,14,WI,335,0,0,0,0,0
04/04/2010,2010,14,WV,737,0,0,0,0,6
04/04/2010,2010,14,WY,354,0,0,0,0,1
04/11/2010,2010,15,AL,1781,2,0,5,5,9
04/11/2010,2010,15,ALL STATES,329033,1022,230,935,714,2916
04/11/2010,2010,15,AR,4508,2,4,19,15,32
04/11/2010,2010,15,AZ,8756,2,1,12,12,27
04/11/2010,2010,15,CA,7098,50,6,13,7,38
04/11/2010,2010,15,CO,1426,2,3,3,0,21
04/11/2010,2010,15,CT,2796,7,4,12,8,42
04/11/2010,2010,15,DE,359,0,0,0,0,0
04/11/2010,2010,15,FL,9150,27,12,39,27,89
04/11/2010,2010,15,GA,16776,17,6,56,50,99
04/11/2010,2010,15,IA,130,0,0,0,0,0
04/11/2010,2010,15,IL,21972,79,7,25,19,120
04/11/2010,2010,15,IN,1680,5,1,5,4,9
04/11/2010,2010,15,KS,4611,1,3,11,8,25
04/11/2010,2010,15,KY,8572,1,0,19,19,85
04/11/2010,2010,15,LA,10095,67,29,56,29,173
04/11/2010,2010,15,MA,45533,224,15,96,81,480
04/11/2010,2010,15,MD,5636,40,6,13,7,36
04/11/2010,2010,15,MI,2578,19,1,3,2,11
04/11/2010,2010,15,MN,2,0,0,0,0,0
04/11/2010,2010,15,MO,2298,0,1,4,3,25
04/11/2010,2010,15,MS,3769,3,1,12,11,31
04/11/2010,2010,15,MT,3,0,0,0,0,0
04/11/2010,2010,15,NC,7313,11,26,84,58,108
04/11/2010,2010,15,NH,180,0,0,0,0,1
04/11/2010,2010,15,NJ,8871,46,12,26,14,181
04/11/2010,2010,15,NM,4373,23,1,7,6,15
04/11/2010,2010,15,NV,196,0,0,0,0,0
04/11/2010,2010,15,NY,8948,5,3,4,1,107
04/11/2010,2010,15,OH,60615,96,16,148,133,499
04/11/2010,2010,15,OK,3063,0,0,30,30,33
04/11/2010,2010,15,OR,2546,1,0,3,3,8
04/11/2010,2010,15,PA,8360,11,5,12,7,53
