Week,SD,athena_flu,athena_ILI,athena_viral,influenza b symptoms,strep,flu how long,how long flu,strep throat,expectorant,influenza a treatment,rsv in adults,influenza a symptoms,flu symptoms,cold and flu,tamiflu side effects,cold,flu shots,symptoms of rsv,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,tessalon,symptoms of pneumonia,stomach flu,how long does the flu last,rsv baby,flu shot,symptoms of influenza,symptoms of influenza b,rsv,pneumonia,bronchitis,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,a influenza,influenza a,influenza b,cold symptoms,symptoms of the flu,what is rsv
2010-03-21,0.510204082,,,,588.824709429,1770.6131169,0.0,0.0,1574.68415393,0.0,0.0,0.0,0.0,586.583643773,0.0,0.0,8050.12006138,0.0,0.0,0.0,593.661421147,0.0,586.053997791,0.0,582.610731836,0.0,0.0,0.0,0.0,583.314155599,582.786428679,0.0,877.712090162,1374.60155161,888.944690973,1182.17374008,591.139411946,0.0,0.0,0.0,0.0,585.258862257,589.534992553,589.534992553,0.0,0.0,0.0,0.0
2010-03-28,0.088731145,,,,0.0,1063.69590986,0.0,0.0,851.728183063,0.0,0.0,0.0,638.993263573,638.654729811,0.0,0.0,5097.90820582,0.0,0.0,637.201436769,635.440669215,0.0,640.729658311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.393366658,849.995531324,956.283279766,1704.93681182,639.426752387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-04,0.707213579,,,,0.0,1566.68016793,0.0,0.0,1259.64249919,0.0,0.0,0.0,0.0,626.691816497,0.0,0.0,6887.17191201,0.0,0.0,0.0,624.833734181,0.0,0.0,625.558558239,0.0,625.181715734,0.0,0.0,0.0,0.0,0.0,0.0,1252.91177578,2087.10892977,627.589973415,1258.69399652,627.639339655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-11,0.178253119,,,,0.0,913.092593948,0.0,0.0,910.686922663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5858.23877969,0.0,0.0,1206.5201303,0.0,0.0,0.0,0.0,0.0,607.531173364,0.0,0.0,0.0,0.0,0.0,0.0,605.285643427,1212.16825738,605.182225846,1832.52590985,608.814431727,603.442044055,610.841969949,0.0,603.260065151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,0.179856115,,,,0.0,1586.62233297,0.0,0.0,1191.75393672,0.0,0.0,0.0,0.0,0.0,595.472752685,0.0,4160.06858251,0.0,0.0,0.0,596.191488657,594.664925261,594.186239941,0.0,0.0,0.0,0.0,0.0,0.0,593.290571808,0.0,0.0,593.818476591,1187.2396462,892.421519977,2186.97544743,0.0,0.0,0.0,593.111762111,0.0,592.754465869,0.0,0.0,0.0,592.575979129,0.0,0.0
2010-04-25,0.270513977,,,,0.0,1180.51463072,0.0,0.0,590.614038766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6482.56305543,0.0,0.0,587.766792592,0.0,0.0,0.0,0.0,0.0,0.0,591.908454963,0.0,0.0,0.0,0.0,0.0,880.810930965,1178.49986622,592.766412323,788.318613733,0.0,0.0,592.804471395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,0.17809439,0.0,0.00229042601924,0.00549702244617,0.0,1527.41702606,0.0,0.0,1222.48720107,0.0,0.0,0.0,0.0,618.105869909,0.0,0.0,12868.566169,0.0,0.0,611.101127849,0.0,610.648642247,0.0,0.0,0.0,616.616458174,615.05009529,0.0,0.0,611.6544944,0.0,0.0,610.280004371,1429.41815859,921.785895274,1230.06059627,615.328636991,611.285472081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.443471104,0.0,0.0
2010-05-09,0.427350427,0.0,0.00183621006243,0.00330517811238,0.0,1924.16580844,0.0,0.0,962.470432294,0.0,0.0,0.0,0.0,639.682541613,0.0,0.0,7451.6238919,0.0,0.0,643.28400155,0.0,641.73578494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.298352013,1910.94438893,1272.62591953,1284.26293093,636.504967298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.255436165,0.0,0.0
2010-05-16,0.387596899,0.0,0.00278454577097,0.00417681865646,0.0,2351.46876377,0.0,0.0,1056.11588042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7983.92979212,0.0,0.0,1052.33053509,0.0,0.0,0.0,706.687543456,0.0,0.0,709.490160374,0.0,0.0,0.0,0.0,0.0,0.0,1405.15684099,1416.36319492,2117.3461258,702.79064825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.752595163,0.0,0.0
2010-05-23,0.275482094,0.0,0.00210010500525,0.00315015750788,0.0,757.980441237,0.0,0.0,1516.34491272,0.0,0.0,0.0,0.0,763.201794754,0.0,0.0,7312.72985448,0.0,0.0,1140.64265291,0.0,751.544930209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.123257833,755.928147624,763.662248326,1145.36221285,0.0,763.892683525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.545031755,0.0,0.0
2010-05-30,0.25,0.000405186385737,0.00202593192869,0.00283630470016,0.0,1191.22504693,0.0,0.0,796.02685228,0.0,0.0,0.0,0.0,793.627012509,0.0,0.0,7950.77500175,0.0,0.0,0.0,0.0,792.672987037,791.72182229,799.61880411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.415646114,1595.8750599,797.091727598,795.071032612,0.0,0.0,800.58394449,0.0,0.0,0.0,0.0,0.0,0.0,792.194041677,0.0,0.0
2010-06-06,0.0,0.0,0.0020540910647,0.00376583361862,0.0,2201.71676923,0.0,0.0,734.644900412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4171.16619443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.959625788,0.0,741.401411065,0.0,0.0,0.0,0.0,0.0,730.684795933,738.779781486,0.0,1472.40243587,732.89030392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.677030033,0.0,0.0
2010-06-13,0.0,0.0,0.00200066688896,0.00433477825942,0.0,754.370699849,0.0,0.0,1143.93792927,0.0,0.0,0.0,0.0,1532.80958044,0.0,0.0,7623.27001662,0.0,0.0,767.455962728,0.0,0.0,0.0,0.0,0.0,0.0,1536.05313154,0.0,0.0,0.0,0.0,0.0,767.110736122,2292.98906099,0.0,1275.21010904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.952126149,0.0,0.0
