Week,NE,athena_flu,athena_ILI,athena_viral,thermoscan,influenza b symptoms,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,ear thermometer,expectorant,how long contagious,influenza a treatment,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,symptoms of rsv,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,symptoms of influenza,symptoms of influenza b,what is influenza,rsv,pneumonia,influenza a incubation period,bronchitis,cough fever,flu and cold,sinus,how to break a fever,what is influenza b,the flu,what is influenza a,flu a,normal body temperature,how long does influenza last,gripe,rsv symptoms,oseltamivir,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,what is rsv,incubation period for influenza
2010-02-21,1.595904848,,,,0.0,0.0,1195.80020658,0.0,599.511380436,599.511380436,0.0,1088.78671369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.087148136,0.0,0.0,0.0,300.117823338,0.0,0.0,6045.43321923,0.0,0.0,0.0,298.286633271,295.613139133,0.0,0.0,0.0,594.371929713,0.0,0.0,297.746450719,0.0,0.0,300.480832499,0.0,594.910472688,298.085438116,0.0,0.0,0.0,1485.139371,993.407391908,0.0,697.747049624,0.0,0.0,1680.21750646,0.0,0.0,898.183289912,0.0,298.555504412,0.0,0.0,0.0,297.545101974,0.0,0.0,0.0,295.85979572,0.0,295.85979572,0.0,0.0,599.149902365,0.0,293.48195399,295.166593605,0.0
2010-02-28,2.15782984,,,,0.0,0.0,1311.49788433,0.0,0.0,0.0,302.034337341,753.170413718,605.345775475,300.668341852,303.52714266,0.0,0.0,0.0,0.0,0.0,503.556104069,0.0,0.0,0.0,0.0,0.0,302.034337341,6652.01317278,0.0,0.0,302.490169423,301.395252319,0.0,302.886982974,0.0,0.0,303.343963938,303.681797363,301.307856674,452.024085198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.078888867,1009.42580946,0.0,506.122717222,0.0,0.0,1809.3461154,0.0,0.0,605.226909386,0.0,302.398892969,302.046348287,0.0,0.0,302.672887737,0.0,0.0,0.0,0.0,303.52714266,0.0,0.0,0.0,0.0,0.0,301.036326614,452.478453547,0.0
2010-03-07,0.796460177,,,,0.0,0.0,825.553852436,0.0,0.0,0.0,0.0,720.753889074,618.795976924,0.0,307.080456103,0.0,0.0,0.0,0.0,0.0,773.938462161,310.597437246,0.0,0.0,0.0,0.0,926.235750269,7218.0413247,0.0,310.503855613,0.0,308.190264575,0.0,615.087807637,307.817529987,0.0,0.0,0.0,0.0,310.130092321,0.0,0.0,623.072730823,0.0,311.254091447,0.0,0.0,0.0,0.0,771.700812501,929.954012917,0.0,414.35911767,0.0,310.597437246,1336.49708915,0.0,0.0,412.514667988,0.0,465.250853179,310.241290066,0.0,310.691075303,0.0,0.0,309.388519574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.024657556,0.0,0.0,0.0
2010-03-14,3.515358362,,,,0.0,0.0,1688.19179976,0.0,0.0,0.0,0.0,526.106054783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.93306627,0.0,0.0,0.0,0.0,0.0,0.0,6960.19912126,0.0,316.414500222,0.0,316.463254399,319.604664487,0.0,0.0,319.02549566,0.0,320.088913979,0.0,636.129729677,0.0,0.0,0.0,0.0,318.929171537,0.0,0.0,0.0,0.0,475.006597757,950.541156842,0.0,424.100718846,0.0,0.0,2102.61652428,0.0,0.0,0.0,0.0,628.247904245,315.134711718,0.0,0.0,0.0,0.0,315.134711718,0.0,313.934663812,0.0,313.934663812,0.0,0.0,421.156727613,0.0,0.0,0.0,0.0
2010-03-21,3.21969697,,,,0.0,0.0,1354.02655734,0.0,0.0,0.0,312.991694006,624.174680708,0.0,0.0,311.615540248,0.0,0.0,0.0,0.0,0.0,311.75913985,312.185789164,0.0,0.0,0.0,0.0,0.0,7389.01807939,0.0,0.0,0.0,310.915026656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.008591214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.038512448,625.778860516,0.0,314.172495687,0.0,312.185789164,1038.03468871,0.0,0.0,312.417279827,312.127719005,0.0,0.0,0.0,313.843500854,0.0,0.0,0.0,0.0,624.083060751,312.708784972,624.083060751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-28,3.45323741,,,,0.0,0.0,1284.49198556,320.569472645,0.0,0.0,0.0,851.65588898,0.0,319.287140093,0.0,0.0,0.0,0.0,318.22894228,0.0,320.376358504,0.0,0.0,320.569472645,0.0,0.0,0.0,6402.03375326,0.0,318.22894228,0.0,321.071032098,0.0,0.0,0.0,318.709070436,320.118837845,0.0,0.0,320.279888658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.706423546,0.0,642.225413042,318.22894228,0.0,532.280445167,0.0,0.0,321.063917413,0.0,320.956400192,0.0,0.0,321.265208712,0.0,0.0,0.0,0.0,320.103659299,0.0,320.103659299,0.0,0.0,320.956400192,0.0,0.0,0.0,0.0
2010-04-04,2.828561573,,,,0.0,0.0,1595.42901033,0.0,0.0,0.0,637.241758985,424.386842562,0.0,0.0,0.0,0.0,0.0,0.0,318.716878552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.490987297,8183.79347886,0.0,317.874083511,0.0,318.237460865,0.0,0.0,0.0,319.360317593,0.0,0.0,317.920027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.450464442,0.0,0.0,318.429054761,1490.75657503,0.0,748.746376374,318.716878552,0.0,1272.26408658,0.0,0.0,318.429054761,0.0,638.142433041,317.77822281,0.0,0.0,0.0,0.0,0.0,0.0,318.990439682,317.490987297,318.990439682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-11,1.765447667,,,,0.0,0.0,1447.57284908,0.0,311.286802758,311.286802758,0.0,1394.28869764,0.0,309.821540856,0.0,0.0,0.0,0.0,0.0,0.0,309.555893489,0.0,0.0,0.0,0.0,0.0,309.089694854,6198.51882577,0.0,309.483621712,0.0,515.943253843,0.0,0.0,0.0,310.534675177,0.0,309.01753192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.462541289,310.253563521,724.991335072,0.0,780.014964333,0.0,0.0,618.782537903,0.0,0.0,0.0,0.0,309.297017177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.369245377,0.0,0.0,0.0,0.0
2010-04-18,1.35891287,,,,0.0,0.0,1025.61860559,0.0,0.0,0.0,0.0,409.524476719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.504102078,306.455453954,0.0,0.0,0.0,0.0,0.0,0.0,5945.82954615,0.0,0.0,0.0,460.473570595,0.0,0.0,0.0,409.338729862,308.690284397,0.0,0.0,305.411554818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.027955617,0.0,618.566236731,0.0,0.0,920.573046472,0.0,0.0,307.968905027,0.0,306.946678728,0.0,0.0,0.0,0.0,0.0,306.854085461,0.0,0.0,305.687612264,0.0,0.0,0.0,307.136263664,305.595537682,305.563620698,0.0,0.0
2010-04-25,1.025056948,,,,0.0,0.0,817.391741258,306.203453395,0.0,0.0,304.855589019,407.603826412,0.0,0.0,305.926846843,0.0,0.0,0.0,304.947440657,0.0,306.062794554,0.0,0.0,306.203453395,0.0,0.0,0.0,6327.3563114,305.888585564,0.0,0.0,305.772202668,0.0,305.650739581,306.627446882,305.796478191,0.0,305.776602883,0.0,0.0,0.0,0.0,0.0,0.0,305.684251145,0.0,0.0,0.0,306.905440941,0.0,715.994063465,0.0,462.096242935,304.947440657,0.0,814.347071008,0.0,0.0,509.774390294,0.0,0.0,307.687176973,0.0,307.091050521,0.0,0.0,306.812720264,0.0,0.0,305.591955176,0.0,0.0,0.0,0.0,0.0,305.191666677,0.0,0.0
2010-05-02,0.0,,,,0.0,0.0,1506.23777931,0.0,0.0,0.0,0.0,322.040196117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.116388484,0.0,321.569976154,0.0,0.0,0.0,321.242918313,6987.56926612,0.0,0.0,0.0,0.0,0.0,321.279313325,0.0,323.914143308,321.242918313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.213734023,320.989175475,646.843909257,0.0,864.578371808,0.0,0.0,1608.80286664,0.0,0.0,0.0,321.242918313,322.152882455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.242918313,0.0,321.242918313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,4.668125456,,,,0.0,0.0,774.336363893,328.817581181,331.487822819,331.487822819,0.0,825.796763257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.619498301,0.0,0.0,328.817581181,0.0,0.0,0.0,6412.76035812,0.0,0.0,0.0,0.0,0.0,330.688816316,0.0,329.512755771,0.0,0.0,0.0,333.244844123,0.0,0.0,331.7884466,0.0,329.413265205,0.0,0.0,0.0,0.0,0.0,830.539340307,0.0,501.494401702,0.0,0.0,771.838872602,0.0,0.0,330.350396506,0.0,0.0,0.0,0.0,328.125333641,331.587970198,331.087837512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-16,0.224466891,,,,0.0,0.0,686.700969775,0.0,0.0,0.0,0.0,683.964138093,0.0,0.0,343.429608148,0.0,0.0,0.0,0.0,0.0,513.641718247,0.0,0.0,0.0,0.0,0.0,0.0,8008.29533679,0.0,0.0,0.0,341.775138841,343.480874545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.434108127,0.0,0.0,0.0,0.0,0.0,0.0,343.636743015,1260.54133145,0.0,517.020569963,0.0,0.0,798.519062351,0.0,0.0,342.706273202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.326134329,0.0,343.326134329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
