Week,KS,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,influenza b symptoms,strep,signs of flu,flu fever,flu how long,how long flu,upper respiratory,strep throat,ear thermometer,expectorant,influenza a treatment,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,type a flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,symptoms of rsv,flu treatment,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,symptoms of influenza,symptoms of influenza b,what is influenza,rsv,tussionex,pneumonia,signs of the flu,how long are you contagious with the flu,flu a symptoms,bronchitis,cough fever,flu and cold,sinus,how to break a fever,what is influenza b,the flu,what is influenza a,flu a,normal body temperature,how long does influenza last,gripe,rsv symptoms,oseltamivir,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,what is rsv,incubation period for influenza
2014-01-12,5.704947259,0.0165406427221,0.0255198487713,0.0354442344045,50.5658272236,50.7345333502,50.3732740834,1280.02339038,118.574955033,321.08794482,438.013959552,438.013959552,101.203724853,911.120185871,50.0706410159,50.4647786685,0.0,50.9863154388,75.6242896521,177.485966732,76.5432810337,1397.45324788,50.8860358987,118.11492687,50.4742777477,321.08794482,75.7690561452,50.2215016396,302.724115499,8379.95416328,303.159043402,219.374201857,0.0,51.2488131258,219.675204209,101.236054626,205.11949205,269.490379836,168.902323262,0.0,84.4664114363,236.514305325,590.357802567,50.4590517212,168.897461725,168.25181162,76.1770051334,1352.13573698,0.0,118.007802146,50.7463269498,126.047738118,639.942720463,84.4103008165,1740.15793064,84.3440585029,0.0,76.0435701993,726.330603322,177.485966732,118.11492687,1583.99951597,84.3137028028,0.0,1776.47574406,50.449504825,926.508062802,50.8038418359,0.0,135.162625471,169.055802257,0.0,270.514825505,50.7826015859,508.334501671,50.6553824556,508.334501671,75.6240830979,50.7826015859,253.808093888,118.318475732,303.631475038,118.150732797,135.02499028,67.4794198133,0.0
2014-01-19,5.2814244756,0.0131787032156,0.0205587770163,0.0316288877174,0.0,52.6699002691,0.0,1147.02649782,104.904074551,156.942959446,347.571755052,347.571755052,156.665290815,714.168048362,52.1319679744,105.010801644,52.123518429,52.3995535588,78.3919856656,121.814367626,52.3924409824,1354.53965563,78.7739757922,104.502772029,52.0750790407,156.942959446,52.2467343355,78.2500142281,399.403249148,10393.6627907,173.829236673,130.724880885,0.0,130.648266366,313.944075713,52.5214466961,121.88807416,312.892574908,156.705049327,260.973415619,78.2815341129,278.94655171,661.28010826,78.1400234168,104.497257055,156.276402274,104.562745631,784.510946508,0.0,157.293644761,0.0,52.1994379556,625.740306998,104.606554963,1621.37500553,104.275663797,52.5423316339,86.933004157,644.767239363,121.814367626,104.502772029,1582.27253388,103.964524563,0.0,1518.71011294,78.3999535759,382.635688479,139.790346439,0.0,87.1536160883,52.3732780457,0.0,226.859039343,52.3995535588,314.620211433,104.49699384,314.620211433,52.3415846853,52.3995535588,156.848177175,78.4154906701,278.467582024,78.1637748651,209.172960626,78.2108333222,0.0
2014-01-26,4.6663694457,0.0170419963481,0.0261716372489,0.0340839926963,0.0,0.0,37.155702596,937.175469715,74.0007416028,148.39547511,234.49951989,234.49951989,86.4301957557,753.170127352,111.50726055,36.9516182337,0.0,37.0885132604,73.7915326638,123.54422792,56.00549732,1109.51268878,37.2567588381,123.544579723,36.969344639,148.39547511,61.9029184621,37.0021892401,295.796031357,9631.1085289,110.943464659,166.617630491,37.0989349464,74.5610180067,272.090078243,55.6781474948,160.935401899,98.6551409773,111.349553763,74.082683581,61.8317806285,210.273097413,419.855584646,37.1131430108,74.0826567697,98.6403648344,37.3040426874,457.78075094,0.0,73.746945635,0.0,37.0316758789,765.377351545,37.0316691291,1496.52035844,55.5335328522,0.0,49.3424584526,766.620844498,123.54422792,123.544579723,1468.15942647,37.055009635,0.0,928.820951884,36.9404343299,370.075523807,55.6511769443,36.8067536266,148.426200829,148.356361223,36.7071263236,99.1331299497,74.4372738647,272.910569386,37.2073113395,272.910569386,111.025267829,74.4372738647,123.641336326,74.2889749459,209.959351397,123.56359089,148.288107451,98.7371157332,0.0
2014-02-02,2.9896381858,0.0134952766532,0.0168690958165,0.023616734143,35.3013229594,52.9066105338,35.1419250532,1104.82129566,35.0687510968,175.361615563,186.071457674,186.071457674,163.029718172,710.649648194,35.0141265026,0.0,0.0,0.0,34.9342630118,58.2553300813,35.0257173589,743.989322181,35.0062472257,58.2133938676,35.131349692,175.361615563,104.70523325,69.4669851213,174.244175715,8532.73563009,69.4611728544,116.47554551,70.5173512695,0.0,268.480529039,81.8377828322,69.995336329,81.4323906694,151.603210288,69.8300178222,93.2774234032,209.939508883,279.410346512,34.8159088638,105.099747119,92.9336916591,34.8174152246,186.629297347,0.0,52.1348493769,0.0,34.835417657,616.884461418,34.80690272,1259.80956768,34.800140792,0.0,58.1640072123,606.401984845,58.2553300813,58.2133938676,1419.52298567,35.0366689327,0.0,770.981068821,34.8880709485,360.216306055,35.2799864088,35.3547774157,81.6327306712,93.3551952009,35.1102180531,35.1254099921,35.1630948875,152.076664982,58.2799268214,152.076664982,104.600971629,35.1630948875,104.918878473,70.2217919913,221.284946495,70.0231482369,93.3232643216,81.4851293763,0.0
2014-02-09,2.2636103152,0.0152456239413,0.0191981931112,0.0265386787126,0.0,35.7272041768,0.0,1102.3302574,53.6312714042,71.3389362227,106.642122392,106.642122392,71.2133605099,819.033668055,35.3933050723,35.9039722395,0.0,35.599457284,35.3933050723,71.2956700304,0.0,698.610761442,0.0,71.2782467759,35.3293990144,71.3389362227,0.0,35.3506753764,165.850564474,7911.48166894,71.0707430073,71.2815095303,35.6860363132,0.0,226.051168308,35.7541907955,118.904768921,47.4147841205,166.429969732,106.959635658,83.1898118709,177.642510184,261.158746982,35.340033993,47.5258653316,71.049316796,36.0034272125,213.981251601,53.3922066548,35.6874533256,0.0,0.0,533.565152908,35.9381247448,963.152952427,35.8622373019,0.0,35.6102269201,629.922749663,71.2956700304,71.2782467759,1529.82059981,0.0,0.0,547.791178384,35.5433221086,213.226254907,59.5926571349,0.0,95.13411482,71.3282874721,0.0,35.692877748,35.959865897,119.264574689,35.4253448777,119.264574689,35.9164098658,35.959865897,124.432940397,47.5617276826,142.462509488,47.5008858051,70.9873039085,118.703432623,0.0
2014-02-16,2.1910353716,0.00764609503004,0.0103768432551,0.0185690879301,46.3754949434,0.0,46.0216638158,1474.41386539,46.5584635122,69.3792378162,76.6962234173,76.6962234173,92.2846734967,953.528495333,69.3110655022,46.1819738465,0.0,0.0,69.1837371662,46.1508175845,0.0,475.841780512,0.0,138.106564766,92.5830641357,69.3792378162,0.0,92.0086332569,138.159013156,7611.13369002,46.0833042535,46.3194858916,0.0,0.0,169.489309551,61.8096437399,61.6555902786,61.4370005918,107.829236551,0.0,61.5993882643,123.301296662,399.880378738,92.1407789881,92.252228373,61.4139564827,92.5167728871,138.694453831,0.0,46.1424593949,46.2443941912,46.1327601678,707.11756688,46.1466849369,1402.44132743,0.0,0.0,45.9593430596,677.709729333,46.1508175845,138.106564766,1475.16834604,46.2024681765,0.0,447.470135381,0.0,153.683509707,61.7347963201,46.3004140509,154.100897876,92.450435349,0.0,138.649305196,0.0,123.614187224,92.7790367541,123.614187224,46.1503601716,0.0,123.022506389,69.2952664765,230.735133635,69.2694795005,46.0843080407,76.8762730987,0.0
2014-02-23,2.0987289388,0.000566251415629,0.00339750849377,0.00849377123443,52.0907483555,0.0,0.0,1181.79404227,52.5429844489,52.430937504,104.205477228,104.205477228,156.619321232,852.685529926,0.0,52.3398933019,0.0,52.0952187094,52.0435076527,104.497041066,52.7326384753,520.888439794,0.0,69.6666574691,52.1729490459,52.430937504,78.3752933311,52.1790914521,191.052541513,8856.40105778,104.103989533,314.771818435,0.0,0.0,261.611269027,52.3558885964,104.539623009,52.1948080459,104.543078407,78.1735211412,52.2596603348,209.157190909,626.367287266,51.9963525566,52.4619697391,156.559591841,51.9963525566,104.618342037,0.0,52.2735332466,0.0,0.0,730.656112943,0.0,1220.27543404,52.3050898619,0.0,104.860617849,697.132250519,104.497041066,69.6666574691,1686.64943627,51.9649632704,0.0,436.449837354,52.5254062201,260.119287503,156.461608587,52.4793345586,52.1817426618,78.3303606923,0.0,52.3841483411,0.0,69.9197006717,104.253216812,69.9197006717,52.4316982488,0.0,104.410784739,0.0,261.089916626,156.378709943,87.0791031202,52.1415622131,0.0
2014-03-02,1.4466033187,0.000595947556615,0.00238379022646,0.00655542312277,0.0,0.0,0.0,1164.969612,141.070944305,113.350627874,131.532137569,131.532137569,75.255321325,827.87795687,0.0,112.822475402,0.0,56.7853042886,0.0,85.1291071064,0.0,281.635368844,0.0,112.931642331,0.0,113.350627874,0.0,0.0,187.830421881,9859.4198678,0.0,112.606669633,56.9225082856,0.0,226.272547086,0.0,150.795646229,0.0,113.022259358,56.4932719407,56.337367817,150.760892491,564.474708625,0.0,56.3995486517,56.3325370629,0.0,75.3919530001,0.0,0.0,0.0,56.5726102573,545.195494769,0.0,904.519429575,56.5213978762,0.0,56.3740284429,697.204643417,85.1291071064,112.931642331,1673.22420484,0.0,0.0,660.532740935,0.0,187.852904637,113.294924331,0.0,56.5444098171,56.5104555444,56.6828345665,141.01846655,56.1382250561,170.112695107,113.741958319,170.112695107,0.0,56.1382250561,112.942904447,0.0,263.464545479,75.3467238336,56.519676837,84.5568714171,0.0
2014-03-09,1.8649045521,0.0025075225677,0.00702106318957,0.00752256770311,0.0,52.2510498623,0.0,1208.9391842,52.0609308209,52.0041903653,120.88974254,120.88974254,77.9003324395,1124.37905613,0.0,104.153442431,0.0,0.0,51.8363606238,51.8944009503,0.0,241.482453099,78.3576033253,103.835871804,52.0581051347,52.0041903653,51.9885882047,0.0,77.6319167529,7377.47002134,51.7315305355,86.5271616861,0.0,0.0,242.675802194,130.179544599,103.820342003,51.7159487492,155.834582898,51.7939516885,52.1052734571,207.917364365,345.842285575,51.6848133195,104.179082377,51.7347665048,52.0546854968,77.7504870404,0.0,0.0,0.0,52.0738184172,397.372986189,51.9413548501,1212.60889167,0.0,0.0,51.7379653029,536.931309511,51.8944009503,103.835871804,1485.96856207,51.9483771202,0.0,381.442776863,0.0,241.92438729,0.0,0.0,52.1682976765,103.860771252,0.0,78.0967768898,0.0,52.0326335605,52.1682976765,52.0326335605,0.0,0.0,86.5325375507,0.0,181.743909926,51.8998867571,51.8362944858,103.717195854,0.0
2014-03-16,1.2143514259,0.000540248514317,0.00270124257158,0.0064829821718,0.0,48.3158148454,0.0,1093.48306336,47.6129704745,47.7048257219,95.0320961408,95.0320961408,158.675420256,682.474428633,95.2593361777,96.3975839634,0.0,0.0,0.0,143.406419961,47.6129704745,253.383115343,47.9620343469,95.3860152447,47.6724598219,47.7048257219,47.3828866547,0.0,95.316627056,6881.31523931,0.0,111.162434278,47.5264276624,47.7516825913,119.69334378,71.7977090295,71.5303130547,47.9953602399,79.4888099101,71.4730913888,71.710446124,79.5272835192,491.994951767,0.0,47.3685802275,71.516030691,47.5120344378,95.0517086172,48.2279945215,0.0,0.0,63.5247793611,364.71678472,0.0,890.153656987,0.0,0.0,0.0,619.85017217,143.406419961,95.3860152447,1458.71455046,47.2402100914,0.0,477.611729368,47.6402913477,174.262117122,71.8624606112,0.0,63.5919875807,71.5735077511,0.0,0.0,0.0,95.2675218624,47.7517087499,95.2675218624,0.0,0.0,119.606509802,48.1404928683,111.090490212,95.0216680686,0.0,47.787706971,0.0
2014-03-23,0.6574246105,0.0,0.00145914396887,0.00389105058366,0.0,0.0,45.606467282,996.503016704,90.5633328732,68.0727187758,90.6466269686,90.6466269686,90.7419554532,695.484059483,0.0,45.6721509425,0.0,91.0479925485,90.9931443602,68.3384805362,45.1949134213,391.956960662,0.0,114.060483137,68.3108585918,68.0727187758,45.0584141358,0.0,75.4547592798,6844.85782345,45.474310258,60.5083841098,68.0865565957,45.3841479055,227.22552774,68.1691489552,136.301323705,45.4965721801,121.176698872,0.0,67.9973122762,151.410297772,514.06317344,60.4810493643,45.606467282,90.279863705,0.0,67.9357060349,45.1265605576,45.5755633121,0.0,0.0,272.130760623,45.661614159,954.194235002,45.2745242572,0.0,45.185887446,529.917572265,68.3384805362,114.060483137,1389.89029496,45.5342935597,0.0,288.17832518,45.4130502301,241.742588342,75.9439056948,0.0,106.011880622,90.7408442763,0.0,45.0992772683,0.0,91.0119010268,0.0,91.0119010268,91.2680481196,0.0,90.7421537949,91.1854027394,241.942006311,90.0896190843,0.0,45.2950321215,0.0
2014-03-30,0.8628659476,0.0,0.00411099691675,0.00719424460432,0.0,0.0,0.0,1190.34391034,0.0,47.3347014392,62.6517266846,62.6517266846,141.146430005,925.730452889,0.0,47.4641030937,0.0,0.0,0.0,94.5984728839,0.0,250.639465398,0.0,93.9552447833,70.7530661456,47.3347014392,46.7092382396,0.0,109.526159976,7241.95545453,0.0,94.4996061628,0.0,46.7233497919,220.125723913,47.4499535332,125.577734263,47.235571213,204.18150636,47.0443287304,47.3206851803,172.863228558,298.004281983,0.0,70.4168834521,93.5736925374,71.0025046557,70.9310015802,0.0,46.5405620859,46.7940356464,47.3210912575,297.513972452,0.0,989.760128256,47.3353747139,0.0,0.0,471.260579541,94.5984728839,93.9552447833,1331.95273204,0.0,0.0,471.926510492,0.0,203.505766479,93.900599764,0.0,47.4069215318,94.526397738,47.0499814305,47.4069215318,0.0,94.9281626024,47.3210912575,94.9281626024,0.0,0.0,78.4195956684,0.0,109.804198323,62.7651927996,94.1256082469,46.5685901269,0.0
2014-04-06,0.5571030641,0.0,0.00190930787589,0.00334128878282,0.0,0.0,48.5205036586,904.219552399,73.2814023175,48.4764771901,96.9810144525,96.9810144525,96.6313372215,533.532417197,48.5890049106,97.0116603773,0.0,0.0,0.0,121.442277948,0.0,225.985293825,0.0,80.8621391744,0.0,48.4764771901,48.5351579937,48.6139141461,80.6284980622,6686.49200852,48.5012198335,145.55626397,48.7607396192,48.8936429071,324.156705433,97.3575626443,48.9232754179,0.0,145.785880158,72.6271314227,0.0,145.82512421,274.847247232,0.0,0.0,0.0,48.3886309614,97.1112845931,0.0,0.0,0.0,0.0,226.282001707,48.3740208675,1036.64458697,48.4765937005,0.0,0.0,453.339154939,121.442277948,80.8621391744,1001.56980563,48.3890117788,0.0,356.82995142,0.0,145.230320183,72.9645381577,0.0,259.173251887,48.8788401087,0.0,48.682189675,0.0,48.8320437624,48.6550891678,48.8320437624,48.4544764662,0.0,97.092960727,48.6621731751,129.373968511,80.9648862161,73.0010229891,0.0,0.0
2014-04-13,0.5943804035,0.0,0.00167785234899,0.00391498881432,0.0,0.0,0.0,1084.39475073,47.2969492748,46.3548389613,46.2178066802,46.2178066802,77.5776394845,899.862391538,46.052831428,46.4153423626,47.1112469671,0.0,0.0,70.0281826367,46.4012941355,247.554995932,0.0,116.547166415,0.0,46.3548389613,46.3688392147,0.0,69.9501591276,7505.81191412,0.0,93.1082585503,0.0,47.2396543635,202.174110444,47.1967741931,124.179185335,46.5981820783,116.759378013,69.9009104244,46.3451861619,77.7043237817,263.728471635,69.4480794457,46.3548389613,116.463886197,0.0,0.0,0.0,0.0,0.0,0.0,170.625218028,0.0,1041.23101661,47.0828067335,0.0,92.3831731387,435.084655619,70.0281826367,116.547166415,1115.91781717,92.5504834432,0.0,248.958615419,0.0,108.405372345,47.13972158,0.0,92.7490606269,0.0,0.0,47.1539717981,0.0,70.3748723273,46.3570212406,70.3748723273,47.1967741931,0.0,139.774936619,94.4507046371,124.117647623,77.5829358899,46.3171830283,0.0,0.0
